US_Chart - Current R&B/Hip-Hop Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.29
122,Super Bigot,Bryson Gray,,,87,87,,2,43,-41.1,73,116,2023.06.29
124,From The Cradle To The Game,Heem B$f & Black Soprano Family,,,66,,,1,42,950.0,4,169,2023.06.29
124,Starfruit,Moonchild,TRUTHOUGHTS,TRTS,10,,,1,42,200.0,14,5293,2023.06.29
124,Love You Anyway,Devon Gilfillian,FANTASY RECORDS,FAN ,24,135,99,12,42,16.7,36,1922,2023.06.29
124,You Can’t Kill Me,070 Shake,DEF JAM RECORDINGS,DEF ,24,,195,32,42,147.1,17,3948,2023.06.29
128,Prism,Say She She,333 Company,INDI,37,151,191,34,41,41.4,29,2419,2023.06.29
128,Yessie,Jessie Reyez,ISLAND,ISL ,7,102,135,41,41,-30.5,59,7765,2023.06.29
128,Leap,Rav, INDEPENDENT LABEL SUBMISSION,INDI,10,132,151,6,41,7.9,38,1304,2023.06.29
128,Ganger,Veeze, INDEPENDENT LABEL SUBMISSION,INDI,128,,,1,41,,0,41,2023.06.29
132,From A Birds Eye View,Cordae,ATLANTIC GROUP,ATLG,5,179,151,16,40,81.8,22,4415,2023.06.29
132,Trendsetter,Coi Leray,REPUBLIC RECORDS,R-RR,36,,195,10,40,166.7,15,1576,2023.06.29
132,Flawless Like Me,Lucki,Empire,EMPR,30,100,125,11,40,-37.5,64,1776,2023.06.29
135,First Day Back,Boosie Badazz,,,135,,,1,39,,0,39,2023.06.29
136,Corners,Bastards Of Soul,,,64,,,1,38,171.4,14,1338,2023.06.29
137,Las Ruinas,Rico Nasty,ARTIST PARTNER GROUP,APG1,27,149,111,5,37,19.4,31,953,2023.06.29
138,If Looks Could Kill,Destroy Lonely,INTERSCOPE/GEFFEN/A&M,INT ,3,,186,7,36,260.0,10,2496,2023.06.29
139,King's Disease Iii,Nas,MASS APPEAL RECORDS,MSAP,1,161,,31,35,25.0,28,13850,2023.06.29
139,Carry Me Home,Mavis Staples & Levon Helm,Anti/Epitaph,ATEP,6,113,170,58,35,-27.1,48,12397,2023.06.29
141,Black Radio III,Robert Glasper,LOMA VISTA,LVR,2,107,118,70,34,-37.0,54,17582,2023.06.29
142,Natural Brown Prom Queen,Sudan Archives,STACRECORDS,STDS,16,90,,40,33,-53.5,71,7910,2023.06.29
142,AMAR,BigXthaPlug, INDEPENDENT LABEL SUBMISSION,INDI,22,109,114,19,33,-36.5,52,1378,2023.06.29
142,"Farewell, My Friend.",Thes One,PIECELOCK 70,PI70,105,,,2,33,999.0,3,287,2023.06.29
