US_Chart - R&B/Hip-Hop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2024.10.31
100,The Hills,Weeknd,REPUBLIC RECORDS,R-RR,2,83,111,397,4014275,-2.1,4099054,3580185,434090,183545141,2310394991,2024.10.31
101,Without Me,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,14,81,85,219,4012436,-3.0,4138638,3419647,592789,186390636,1477722944,2024.10.31
102,Fukumean,Gunna,300 ENTERTAINME,300E,1,84,103,70,3996637,-2.3,4091392,3763959,232678,273014826,796534474,2024.10.31
103,I Smoked Away My Brain (I'M God X Demons Mashup) [feat. Imogen Heap & Clams Casino],A$ap Rocky, RCA,RCA,57,105,118,35,3978403,3.8,3831456,3693386,285017,145935245,178717224,2024.10.31
104,Exchange,Bryson Tiller, RCA,RCA,6,88,112,269,3957495,-2.4,4053852,3596085,361410,195729842,1714613328,2024.10.31
105,LET HER COOK,Glorilla,INTERSCOPE/GEFFEN/A&M,INT ,105,110,150,3,3952345,5.8,3735175,3531886,420459,11090708,11090708,2024.10.31
106,Break From Toronto,Partynextdoor,OVO SOUND,OVO ,55,95,136,62,3948537,0.4,3933054,3824651,123886,148763175,764319603,2024.10.31
107,Good Days,Sza, RCA,RCA,1,92,108,200,3926730,-1.7,3993216,3679563,247167,223787517,1130598576,2024.10.31
108,Brokey,Latto,RCA,RCA,70,86,70,12,3914145,-3.7,4063455,2962650,951495,43482394,43482394,2024.10.31
109,September,"Earth, Wind & Fire",SONY/COLUMBIA,COL,19,93,107,135,3895618,-1.8,3967667,3519028,376590,173789044,1383759457,2024.10.31
110,Texas,Bigxthaplug,,,109,170,192,42,3893189,20.6,3228878,2806864,1086325,148355220,271181994,2024.10.31
111,Superstition,Stevie Wonder,MOTOWN,MOT ,75,0,0,5,3892426,110.0,1853133,3809800,82626,58678200,560015571,2024.10.31
112,LES,Childish Gambino,GLASSNOTE,GLSN,112,0,0,10,3863656,43.8,2687735,3768564,95092,123251798,412250726,2024.10.31
113,Flashing Lights,Kanye West Feat. Dwele,DEF JAM RECORDINGS,DEF ,57,99,116,143,3843061,-1.6,3906104,3691716,151345,171005176,912818243,2024.10.31
114,Dark Red,Steve Lacy, AWAL,AWAL,16,91,105,169,3841044,-4.6,4024453,3619994,221050,166371472,930884314,2024.10.31
115,Are We Still Friends?,"Tyler, The Creator",SONY/COLUMBIA,COL,73,166,0,3,3749490,15.2,3255192,3560044,189446,105520082,427921612,2024.10.31
116,Took Her To The O,King Von, EMPIRE DISTRIBUTION,EMPI,9,148,145,208,3742472,10.2,3397334,3152885,589587,160697486,890248441,2024.10.31
117,Lose Yourself,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,14,100,124,377,3734754,-4.1,3895124,3195207,539547,170235425,1817994386,2024.10.31
118,Starboy,The Weeknd Feat. Daft Punk,REPUBLIC RECORDS,R-RR,1,117,125,384,3727153,2.1,3648884,3278602,448551,177439883,2225739182,2024.10.31
119,HOW I LOOK,GloRilla & Megan Thee Stallion,INTERSCOPE/GEFFEN/A&M,INT ,41,58,41,3,3718586,-17.6,4514422,3524732,193854,14130566,14130566,2024.10.31
120,Whatever She Wants,Bryson Tiller, RCA,RCA,3,90,95,37,3708714,-7.9,4028122,3462949,245765,307477955,307477955,2024.10.31
121,Novacane,Frank Ocean,DEF JAM RECORDINGS,DEF ,43,109,133,112,3694704,-2.1,3772861,3526022,168682,167391283,735164427,2024.10.31
122,Redrum,21 Savage,EPIC,EPIC,2,107,114,42,3682980,-3.0,3798438,3251254,431726,395777123,395777123,2024.10.31
123,Plutoski,Future,EPIC,EPIC,7,66,71,6,3677255,-14.3,4291837,3371038,306217,37975532,37975532,2024.10.31
124,F**k Love,Xxxtentacion Feat. Trippie Redd, EMPIRE DISTRIBUTION,EMPI,11,112,117,251,3658838,-1.0,3697217,3340036,318802,148298867,1638736023,2024.10.31
125,No Chill,Partynextdoor,OVOS / Santa Anna,OVOS,43,104,106,24,3657879,-5.3,3863248,3122708,535171,108091407,108091407,2024.10.31
126,Paint The Town Red,Doja Cat, RCA,RCA,1,116,120,65,3653822,-0.1,3659056,3219567,434255,287038848,843741293,2024.10.31
127,No Scrubs,Tlc, RCA,RCA,76,108,128,35,3641495,-3.7,3782066,3287244,354251,158405877,1043485545,2024.10.31
128,Knife Talk,Drake Feat. 21 Savage & Project Pat,OVO / REPUBLIC RECORDS,R-RR,2,113,134,156,3621870,-1.9,3693015,3493830,128040,152221332,1080656089,2024.10.31
