US_Chart - Pop On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
96,everything i wanted,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,1,102,145,189,3407159,4.0,3275353,1949770,1457389,76705176,915881533,2023.06.22
97,That's What I Like,Bruno Mars,NOW,NOW ,1,100,106,344,3394933,3.5,3280333,2826742,568191,78709091,1900767619,2023.06.22
98,Look What You Made Me Do,Taylor Swift,BIG MACHINE,BGMA,1,96,101,157,3388353,2.2,3316718,3363392,24961,60397166,1105309328,2023.06.22
99,When I Was Your Man,Bruno Mars,ATLANTIC GROUP,ATLG,24,105,91,395,3370200,4.8,3216310,3009123,361077,110908628,1185485135,2023.06.22
100,Before You Go,Lewis Capaldi,CAPITOL MUSIC GROUP,CAP ,9,106,114,187,3363700,5.5,3189293,2122195,1241505,100322620,958188241,2023.06.22
101,Delicate,Taylor Swift,BIG MACHINE,BGMA,13,93,96,106,3360329,-0.1,3362654,3343802,16527,64420475,739833132,2023.06.22
102,Cheap Thrills,Sia, RCA,RCA,1,144,107,361,3338760,19.5,2792831,1954793,1383967,67195962,1265286393,2023.06.22
103,My Ordinary Life,Living Tombstone,,,69,69,81,30,3306276,-16.2,3946498,986522,2319754,49748426,226397800,2023.06.22
104,Burn,Ellie Goulding,INTERSCOPE/GEFFEN/A&M,INT ,46,0,197,92,3294137,50.2,2193409,695552,2598585,43878556,500999873,2023.06.22
105,Surrender,Natalie Taylor,Columbia Records,COL ,22,83,72,133,3279884,-8.4,3581350,372237,2907647,66849284,475814905,2023.06.22
106,Locked out of Heaven,Bruno Mars,CAPITOL MUSIC GROUP,CAP ,52,89,98,255,3273347,-6.0,3482720,2613558,659789,91466227,809564542,2023.06.22
107,Kiss Me More,Doja Cat Feat. Sza, RCA,RCA,1,108,108,115,3243631,2.4,3166850,2952421,291210,87435221,958700450,2023.06.22
108,bad guy,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,1,107,65,221,3233513,1.9,3173889,2481094,752419,105119394,2166430996,2023.06.22
109,You Need To Calm Down,Taylor Swift,REPUBLIC RECORDS,R-RR,2,109,105,155,3201705,1.2,3165181,2987218,214487,66516433,798889201,2023.06.22
110,traitor,Olivia Rodrigo,INTERSCOPE/GEFFEN/A&M,INT ,3,123,115,109,3164283,5.5,3000051,2463236,701047,83019079,745506451,2023.06.22
111,Classic,MKTO,SONY/COLUMBIA,COL,28,124,85,172,3136349,4.8,2993514,1861723,1274626,84691155,785270457,2023.06.22
112,The Man,Taylor Swift,REPUBLIC RECORDS,R-RR,5,116,113,49,3128610,1.5,3082166,2956717,171893,59722784,351154481,2023.06.22
113,Angels Like You,Miley Cyrus, RCA,RCA,29,113,121,17,3110671,0.7,3090471,2701860,408811,38226775,136625920,2023.06.22
114,Midnight Rain,Taylor Swift,REPUBLIC RECORDS,R-RR,4,103,84,35,3100492,-4.7,3253758,3021799,78693,94455765,221858235,2023.06.22
115,Just The Way You Are,Bruno Mars,CAPITOL MUSIC GROUP,CAP ,50,126,118,381,3088725,3.7,2978763,2802889,285836,81919278,1134763443,2023.06.22
116,Careless Whisper,Wham!,EPIC,EPIC,4,140,133,316,3087138,9.2,2827208,1711847,1375291,81610648,997998631,2023.06.22
117,Moves Like Jagger,Maroon 5 Feat. Christina Aguilera,INTERSCOPE/GEFFEN/A&M,INT,45,75,112,163,3075220,-17.4,3721172,1980460,1094760,62568431,702387068,2023.06.22
118,Can't Stop The Feeling!,Justin Timberlake, RCA,RCA,2,114,97,369,3056314,-1.1,3089130,2656342,399972,77966868,1763714660,2023.06.22
119,Thinking Out Loud,Ed Sheeran,NEW ELEKTRA,NELK,17,112,116,391,3056034,-1.5,3103450,2560845,495189,75348740,1844730193,2023.06.22
120,Bubblegum Bitch,Marina & The Diamonds,NEW ELEKTRA,NELK,45,0,0,41,3036227,119.6,1382433,700944,2335283,48352088,326397369,2023.06.22
121,You Make My Dreams,Hall & Oates, RCA,RCA,21,171,136,207,3032913,16.2,2609243,2617999,414914,61560369,855093128,2023.06.22
122,Heather,Conan Gray,REPUBLIC RECORDS,R-RR,2,97,99,146,3013994,-9.1,3315590,1618735,1395259,63197325,627207240,2023.06.22
123,Shallow,Lady Gaga & Bradley Cooper,INTERSCOPE/GEFFEN/A&M,INT ,2,129,120,247,3003679,1.4,2963213,2551906,451773,83345690,1232518003,2023.06.22
124,No,Meghan Trainor,EPIC,EPIC,5,125,83,96,2995902,0.2,2989423,892771,2103131,134539066,646213769,2023.06.22
125,High Hopes,Panic! At The Disco,FUELED BY RAMEN,FUER,113,128,128,48,2994924,0.9,2968801,2763989,230935,69854161,1211889856,2023.06.22
126,Rasputin,Boney M., SONY MUSIC ENTERTAINMENT INC.,SMEI,35,0,0,53,2978686,88.9,1577171,647577,2331109,42143839,462830934,2023.06.22
127,Don't Start Now,Dua Lipa,WARNER RECORDS,WAR ,1,104,129,183,2974776,-8.2,3240813,2733826,240950,71716429,1033926629,2023.06.22
128,Last Friday Night,Katy Perry,CAPITOL MUSIC GROUP,CAP ,71,98,125,176,2957590,-10.4,3301820,2262006,695584,75489121,704458053,2023.06.22
129,abcdefu,Gayle,ATLANTIC GROUP,ATLG,1,152,135,84,2951871,7.6,2743589,2139830,812041,102123134,650629685,2023.06.22
