US_Chart - Rock On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
164,Wonderwall,Oasis,Columbia Records,COL ,36,156,152,390,2346915,-2.3,2403132,2214746,132169,56567898,715580852,2023.06.22
165,Softcore,Neighbourhood,Columbia Records,COL ,10,150,140,77,2339975,-4.0,2437943,1763079,576896,65469026,258137958,2023.06.22
166,Tek It,Cafune,NEW ELEKTRA,NELK,6,154,133,63,2325847,-3.4,2408096,2009647,316200,71255457,239074462,2023.06.22
167,Feel It Still,Portugal. The Man,ATLANTIC GROUP,ATLG,2,172,158,319,2319350,1.5,2284738,2111403,207947,55928314,1222110817,2023.06.22
168,Game Of Survival,Ruelle,CRAFT RECORDINGS,CRFT,168,,,1,2318268,1119.5,190101,41206,2277062,3637613,23679093,2023.06.22
169,We Are Young,fun. Feat. Janelle Monae,FUELED BY RAMEN,FUER,35,178,147,376,2314870,3.1,2244501,2070104,244766,54091001,775396694,2023.06.22
170,The View Between Villages,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,40,40,0,2,2302843,-46.2,4276788,2277852,24991,18749174,24380150,2023.06.22
171,"Sugar, We're Goin Down",Fall Out Boy,ISLAND,ISL,79,181,169,395,2293862,2.5,2237331,2141028,152834,57110752,675236725,2023.06.22
172,What's Up,4 Non Blondes,THE ORCHARD,ORCH,60,176,171,301,2289030,1.1,2263758,1648238,640792,51474863,589944095,2023.06.22
173,Heathens,Twenty One Pilots,ATLANTIC GROUP,ATLG,1,0,156,365,2287274,7.4,2129629,1666294,620980,67158048,1648505323,2023.06.22
174,Call Your Mom,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,37,37,0,2,2276766,-48.0,4375537,2228356,48410,6654022,6654022,2023.06.22
175,Safe and Sound,Capital Cities,CAPITOL MUSIC GROUP,CAP ,17,170,134,214,2270335,-1.3,2299817,1762970,507365,63114031,591566432,2023.06.22
176,Daddy Issues,Neighbourhood,Columbia Records,COL ,5,168,165,161,2248738,-2.7,2310934,1852588,396150,62633898,657353502,2023.06.22
177,Ain'T No Rest For The Wicked,Cage The Elephant, RCA,RCA,82,194,178,331,2247276,3.6,2169610,2106238,141038,51305218,613643083,2023.06.22
178,Fade Into You,Mazzy Star,CAPITOL MUSIC GROUP,CAP ,126,179,177,46,2241856,-0.0,2242010,1988497,253359,55677259,401665062,2023.06.22
179,Why'd You Only Call Me When You're High?,Arctic Monkeys,DOMINO,DOMI,10,167,174,139,2241289,-3.1,2312394,2092480,148809,60375501,493217844,2023.06.22
180,Rhiannon,Fleetwood Mac,WARNER RECORDS,WAR ,14,185,168,162,2233059,0.8,2215213,2144898,88161,53853273,545079530,2023.06.22
181,Washing Machine Heart,Mitski, INDEPENDENT LABEL SUBMISSION,INDI,18,0,184,108,2230289,13.0,1973679,1368696,861593,57033112,299644479,2023.06.22
182,Don'T You (Forget About Me),Simple Minds,A&M RECORDS,AAM ,136,0,155,38,2226880,7.2,2077025,1983718,243162,48234354,472328200,2023.06.22
183,It's Called: Freefall,Rainbow Kitten Surprise,NELK,NELK,22,169,131,29,2224354,-3.6,2307700,2015245,209109,76862262,216383136,2023.06.22
184,I'm Yours,Jason Mraz,ATLANTIC GROUP,ATLG,13,184,161,392,2218109,-0.3,2224983,2067773,150336,54966251,977011526,2023.06.22
185,Bad Liar,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,3,198,0,183,2212324,3.0,2147054,930167,1282157,58068253,614935872,2023.06.22
186,Borderline,Tame Impala,INTERSCOPE/GEFFEN/A&M,INT ,17,186,162,46,2204223,-0.6,2217679,1997464,206759,58730249,306792210,2023.06.22
187,Break Stuff,Limp Bizkit,INTERSCOPE/GEFFEN/A&M,INT ,118,191,172,29,2195798,0.3,2190224,2008760,187038,57805895,386686125,2023.06.22
188,"Hey, Soul Sister",Train,SONY/COLUMBIA,COL,52,70,0,354,2193893,-38.6,3575951,1888799,305094,49693434,724384109,2023.06.22
189,Night Moves,Bob Seger & The Silver Bullet Band,CAPITOL MUSIC GROUP,CAP ,116,193,175,119,2193195,1.1,2170159,2012577,180618,48626460,431462762,2023.06.22
190,Mr. Jones,Counting Crows,CAPITOL MUSIC GROUP,CAP ,124,0,192,211,2192043,6.3,2062473,1938480,253563,47550678,549791960,2023.06.22
191,Last Resort,Papa Roach,DGC/INTERSCOPE,DGCI,35,0,183,373,2191838,4.2,2103620,2008079,183759,52048638,663282004,2023.06.22
192,Mary Jane's Last Dance,Tom Petty & The Heartbreakers,INTERSCOPE/GEFFEN/A&M,INT ,8,0,198,117,2184143,3.9,2101353,2022819,161324,47609189,490791179,2023.06.22
193,Cry,Cigarettes After Sex,PTKF,PTK ,31,166,148,50,2182600,-5.8,2317587,1601834,580766,71694729,150504003,2023.06.22
194,Crazy Train,Ozzy Osbourne,EPIC,EPIC,78,183,180,195,2159047,-3.1,2227693,2012026,147021,53975350,563797712,2023.06.22
195,Stolen Dance,Milky Chance,REPUBLIC RECORDS,R-RR,53,195,116,286,2153163,-0.2,2157674,1774471,378692,52208106,658804765,2023.06.22
196,"You're Gonna Go Far, Kid",Offspring,UNIVERSAL MUSIC ENTERPRISES,UME ,62,200,190,336,2150609,0.5,2139893,2015267,135342,50589593,622585869,2023.06.22
197,Rises The Moon,Liana Flores,,,57,0,0,39,2149872,1.0,2129535,1876956,272916,64050082,189727167,2023.06.22
198,A Sky Full Of Stars,Coldplay,ATLANTIC GROUP,ATLG,16,0,0,141,2143956,1.9,2103030,1760793,383163,52201790,514966901,2023.06.22
199,Paradise City,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,45,188,179,335,2143038,-2.5,2197918,1955557,187481,48598632,609041653,2023.06.22
200,Cigarettes Out The Window,TV Girl,,,108,0,176,27,2141850,0.9,2121877,1966570,175280,58904373,142291176,2023.06.22
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,,,,2023.06.22
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.29
1,Yellow,Coldplay,ATLANTIC GROUP,ATLG,1,19,31,337,11962080,103.0,5891572,3054594,8907486,135227384,858599740,2023.06.29
2,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,2,2,4,286,10922975,4.1,10491356,4886002,6036973,156064851,879604913,2023.06.29
3,Devochka S Kare,Mukka,,,3,21,104,34,9804733,75.8,5577835,13067,9791666,84002169,163218408,2023.06.29
4,Heat Waves,Glass Animals,REPUBLIC RECORDS,R-RR,1,3,6,125,9637679,8.0,8924045,6486520,3151159,222625764,1609634702,2023.06.29
5,Until I Found You,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,1,5,5,60,8390341,0.1,8385367,5590369,2799972,269601455,493969637,2023.06.29
6,Bones,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,11,8,68,8332562,16.5,7150159,3071105,5261457,247755732,508654395,2023.06.29
7,Run Boy Run,Woodkid,INTERSCOPE/GEFFEN/A&M,INT ,7,9,17,21,7910527,0.7,7853982,309863,7600664,74553514,232156247,2023.06.29
8,Viva La Vida,Coldplay,ATLANTIC GROUP,ATLG,3,6,7,396,7143370,-14.6,8364043,3698307,3445063,180581219,967697026,2023.06.29
9,Believer,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,10,11,334,7129048,-3.3,7371134,3686874,3442174,165033545,2741227970,2023.06.29
10,The Perfect Girl,Mareux, WARNER Records,WAR ,2,7,2,54,6885212,-12.8,7894657,1279580,5605632,196362275,360948530,2023.06.29
11,Everybody Talks,Neon Trees,ISLAND,ISL ,4,20,43,202,6674199,19.0,5610651,1939528,4734671,97287130,718396335,2023.06.29
12,Sweater Weather,Neighbourhood,Columbia Records,COL ,1,12,9,396,6635345,-3.0,6840052,4797817,1837528,235683392,1652000050,2023.06.29
13,Riptide,Vance Joy,ATLANTIC GROUP,ATLG,5,26,28,396,6627121,35.9,4875679,3790754,2836367,147277183,1270009101,2023.06.29
14,Long Cool Woman In A Black Dress,Hollies,EPIC,EPIC,14,120,177,31,6619308,144.7,2705538,1965655,4653653,59105625,454972636,2023.06.29
15,Take Me to Church,Hozier,Columbia Records,COL ,3,23,34,396,6575687,32.3,4970314,3643093,2932594,137108639,1421549164,2023.06.29
16,Space Song,Beach House, SUB POP,SUBP,1,1,18,120,6568591,-38.7,10716525,2797073,3771518,162331798,603265304,2023.06.29
17,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,1,15,14,374,6494444,-1.4,6588837,5905481,588963,152886989,1318143835,2023.06.29
18,Son Of A Sinner,Jelly Roll,BROKEN BOW RECO,BB2 ,7,14,13,61,6184994,-6.4,6611295,5387000,797994,151336430,363493133,2023.06.29
19,Dream On,Aerosmith,Columbia Records,COL ,1,16,16,391,6155499,-6.5,6580505,3168080,2987419,203093957,969130532,2023.06.29
20,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,3,13,3,3,5940416,-11.1,6681969,5839252,101164,22093167,22093167,2023.06.29
21,Demons,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,3,18,12,396,5465324,-9.4,6034938,2236782,3228542,112669606,1270926651,2023.06.29
22,House of Memories,Panic! At The Disco,FUELED BY RAMEN,FUER,2,22,10,91,5362114,-2.5,5499377,1591275,3770839,199412365,769825915,2023.06.29
23,Just a Girl,No Doubt,INTERSCOPE/GEFFEN/A&M,INT ,1,8,1,14,5337903,-32.3,7878968,1085219,4252684,111346654,327142785,2023.06.29
24,Romantic Homicide,D4vd,,,1,24,19,47,5112400,2.9,4968532,4197049,915351,198987219,401607072,2023.06.29
25,Don't Stop Believin',Journey,Columbia Records,COL ,2,25,26,396,5097725,2.9,4952003,5013569,84156,121548817,1402034838,2023.06.29
26,Dawns,"Zach Bryan, Maggie Rogers", WARNER Records,WAR,3,60,55,22,5024628,32.4,3793983,4920535,104093,131655183,131655183,2023.06.29
27,Spirit in the Sky,Norman Greenbaum,CRAFT RECORDINGS,CRFT,27,72,173,65,4869013,43.4,3394955,1800544,3068469,47820648,483710018,2023.06.29
28,Heaven,Los Lonely Boys,EPIC,EPIC,28,127,0,4,4805398,84.8,2600547,422283,4383115,33354070,138559876,2023.06.29
29,Hotel California,Eagles,ELEKTRA ENTERTA,EEG,6,27,22,396,4753273,-0.8,4793001,4136597,616676,118014993,1229881057,2023.06.29
30,Hymn For The Weekend,Coldplay,NOW,NOW ,1,37,44,261,4751452,10.1,4316143,1349012,3402440,134187281,1192502837,2023.06.29
31,Somebody That I Used To Know,Gotye Feat. Kimbra,REPUBLIC RECORDS,R-RR,1,35,27,396,4628840,6.0,4367802,2569053,2059787,146591886,1242237231,2023.06.29
32,Past Lives,BORNS,INTERSCOPE/GEFFEN/A&M,INT ,28,28,65,6,4471158,-4.5,4682838,1114484,3356674,47221604,140435634,2023.06.29
33,Centuries,Fall Out Boy,ISLAND,ISL ,3,55,77,396,4468112,14.2,3911927,1927261,2540851,105911988,1250492555,2023.06.29
34,Mr. Blue Sky,Electric Light Orchestra,EPIC,EPIC,7,34,41,322,4428928,1.0,4386131,2158051,2270877,90745907,946442034,2023.06.29
35,Blade Runner 2049,Synthwave Goose,,,21,31,21,23,4420241,-1.5,4485579,27029,4393212,71692501,151899582,2023.06.29
36,Fortunate Son,Creedence Clearwater Revival,SONY CLASSICS,SNYC,5,30,36,383,4392430,-3.5,4550428,3675600,716830,105196825,950586300,2023.06.29
37,Home,Edith Whiskers, INDEPENDENT LABEL SUBMISSION,INDI,1,17,109,127,4362743,-29.8,6213427,430856,3931887,115174584,539347829,2023.06.29
38,Everlong,Foo Fighters, RCA,RCA,15,36,33,358,4315667,-0.6,4343840,3969472,346195,125862347,736441919,2023.06.29
39,Somewhere Only We Know,Keane,INTERSCOPE/GEFFEN/A&M,INT ,8,33,52,43,4278654,-3.1,4415176,1936446,2342208,89141376,399877985,2023.06.29
40,Here With Me,D4vd,,,1,32,24,38,4272489,-3.8,4441872,3452013,820476,189535865,250647914,2023.06.29
41,Thunder,Imagine Dragons,INTERSCOPE/GEFFEN/A&M,INT ,1,40,48,322,4220511,1.2,4170700,3745760,474751,95432179,1811753334,2023.06.29
42,Have You Ever Seen The Rain?,Creedence Clearwater Revival,CRAFT RECORDINGS,CRFT,30,37,45,395,4156445,-3.7,4316114,3675953,480492,94782788,875648132,2023.06.29
43,Every Breath You Take,Police,SME/LEGACY RECORDINGS,LEGC,26,58,75,396,4124307,7.3,3843672,2705878,1418429,75656873,813559657,2023.06.29
44,Livin' On A Prayer,Bon Jovi,ISLAND,ISL ,18,45,67,396,4058125,-0.7,4084999,3269560,788565,97877669,959234509,2023.06.29
45,Mr. Brightside,Killers,ISLAND,ISL,9,49,54,396,4052701,0.5,4032404,3787804,264897,104358214,1210600428,2023.06.29
46,Sweet Home Alabama,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,5,46,46,395,4045756,-0.7,4074008,3664760,380996,90312886,1000811818,2023.06.29
47,Stressed Out,Twenty One Pilots,FUELED BY RAMEN,FUER,1,50,47,396,4020020,-0.3,4031453,2589148,1430872,83673237,1690675895,2023.06.29
48,Mary On A Cross,Ghost,LOMA VISTA,LVR,6,68,73,46,4016938,14.3,3513090,1459793,2557145,140546323,280783036,2023.06.29
49,The Chain,Fleetwood Mac,WARNER RECORDS,WAR ,8,43,56,323,4005338,-2.9,4125854,3566995,438343,97465258,836150724,2023.06.29
50,Enemy,"Imagine Dragons, JID & League Of Legends",INTERSCOPE/GEFFEN/A&M,INT ,1,29,38,87,4000247,-14.4,4672315,2478356,1521891,137287959,830612455,2023.06.29
51,Smells Like Teen Spirit,Nirvana,INTERSCOPE/GEFFEN/A&M,INT ,4,44,51,396,3965969,-3.5,4108142,3350497,615472,108600069,1205941775,2023.06.29
52,Creep,Radiohead,XLR,XLR,17,53,49,345,3925512,-0.8,3956204,3440284,485228,85094977,671251595,2023.06.29
53,505,Arctic Monkeys, WBR - PARLOPHONE,WBR,9,63,59,155,3907621,5.3,3709196,3339389,568232,115707584,613672970,2023.06.29
54,Thunderstruck,AC/DC,Columbia Records,COL ,8,52,60,396,3906722,-1.5,3966703,3371017,535705,96142908,1109811902,2023.06.29
55,Sweet Child O' Mine,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,4,47,53,396,3890942,-4.2,4059430,3407072,483870,103985238,1160857528,2023.06.29
56,Eye Of The Tiger,Survivor, RCA,RCA,9,64,71,396,3861035,4.7,3689205,2679998,1181037,101190414,1168198165,2023.06.29
57,I Wanna Be Yours,Arctic Monkeys,DOMINO,DOMI,17,62,76,52,3833354,2.5,3738037,2944846,888508,105221528,360261567,2023.06.29
58,Bohemian Rhapsody,Queen,HOLLYWOOD RECORDS,HOL ,1,56,69,396,3827363,-1.6,3891266,3244057,583306,88855911,1556056178,2023.06.29
59,Ophelia,Lumineers,DUA,DUA,2,54,15,386,3823633,-3.2,3948593,2355159,1468474,100192851,1034402951,2023.06.29
60,Ceilings,Lizzy Mcalpine,,,1,48,50,24,3799152,-6.4,4058055,2803792,995360,157724256,173754969,2023.06.29
61,All Star,Smash Mouth,INTERSCOPE/GEFFEN/A&M,INT ,2,51,20,387,3757684,-5.5,3974875,1898936,1858748,97588957,1268090656,2023.06.29
62,The Night We Met,Lord Huron,INTERSCOPE/GEFFEN/A&M,INT ,2,61,64,326,3703950,-2.3,3790170,3387929,316021,96815039,979697592,2023.06.29
63,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,20,59,32,51,3669893,-3.4,3797959,3590926,78967,73123612,158217715,2023.06.29
64,Je Te Laisserai Des Mots,Patrick Watson,SECRET CITY RECS,CTY ,19,103,114,85,3649541,22.6,2977620,1303087,2346454,77523943,251154261,2023.06.29
65,Beggin,Maneskin,Sony Music Latin/Arista,ARML,1,42,29,105,3616999,-12.9,4151252,1606665,2010334,128848507,834756553,2023.06.29
66,IN THIS SHIRT,Irrepressibles,DECCA INTERNATIONAL,DECC,40,69,62,12,3527278,1.1,3488203,303768,3223510,53719665,160837516,2023.06.29
67,Kryptonite,3 Doors Down,REPUBLIC RECORDS,R-RR,39,71,81,396,3526317,3.4,3411544,3147948,378369,86469937,885575265,2023.06.29
68,King For A Day,Pierce The Veil,FEARLESS RECORD,FEAR,29,85,0,45,3512817,11.2,3158034,1884185,1628632,58618436,324193434,2023.06.29
69,Feel Good Inc,Gorillaz,CAPITOL MUSIC GROUP,CAP ,12,83,92,396,3454775,9.0,3170678,2624276,830499,79419701,879864386,2023.06.29
70,Running Up That Hill,Kate Bush,Warner Records,WAR,1,77,80,57,3436787,5.1,3270830,2436233,1000554,118747310,647850868,2023.06.29
71,Apocalypse,Cigarettes After Sex,PTKF,PTK ,24,70,78,86,3418031,-0.4,3430084,2921719,496312,99791858,389326878,2023.06.29
72,Iris,Goo Goo Dolls,WARNER RECORDS,WAR ,16,75,88,396,3409566,1.2,3368025,3058644,350922,90991843,816999930,2023.06.29
73,Brown Eyed Girl,Van Morrison,SONY/COLUMBIA,COL,4,73,91,323,3408080,1.1,3371090,3248572,159508,72950831,799265178,2023.06.29
74,I Wanna Be Your Slave,Maneskin, RCA,RCA,3,41,23,96,3388027,-18.4,4151702,787320,2600707,67088806,359081897,2023.06.29
75,Free Bird,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,39,82,72,347,3342208,5.3,3174812,2329927,1012281,85511784,694433710,2023.06.29
76,Walk Of Life,Dire Straits,WARNER RECORDS,WAR ,76,0,0,4,3338845,63.5,2041875,851258,2487587,35972414,234822759,2023.06.29
77,Santeria,Sublime,INTERSCOPE/GEFFEN/A&M,INT ,35,76,83,396,3335073,0.2,3326768,3285574,49499,77500010,812482416,2023.06.29
78,Let Her Go,Passenger,NOW,NOW ,4,57,63,396,3305558,-14.9,3883023,1964734,1340824,79671545,1224739803,2023.06.29
79,Way Down We Go,Kaleo,NEW ELEKTRA,NELK,20,87,136,245,3296192,5.4,3127832,1707230,1588962,54447481,576173871,2023.06.29
80,Take It Easy,Eagles,EEG,EEG,31,74,97,284,3273158,-2.9,3369237,3191664,81494,71565416,669252977,2023.06.29
81,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,ISLAND,ISL ,19,142,87,250,3268289,31.9,2477703,1414308,1853981,56188943,726334301,2023.06.29
82,Spit In My Face!,Thxsomch, ELEKTRA ,ELEK,16,139,129,34,3265887,30.2,2507494,2081259,1184628,106908877,140321165,2023.06.29
83,Pumped Up Kicks,Foster The People,SONY/COLUMBIA,COL,1,84,93,396,3205156,1.2,3167736,2507088,698068,75871655,1396302261,2023.06.29
84,Bring Me To Life,Evanescence,BICYCLE MUSIC,BIKE,8,88,82,391,3202130,3.0,3109642,2397252,804878,74639161,1031622395,2023.06.29
85,Waste,Kxllswxtch,,,22,104,58,25,3199200,7.8,2967746,1417059,1782141,77607788,102048337,2023.06.29
86,Shut Up and Dance,Walk The Moon, RCA,RCA,3,94,86,389,3183795,5.4,3019695,2970515,213280,74925099,1086636441,2023.06.29
87,Enter Sandman,Metallica,WARNER RECORDS,WAR ,31,102,108,396,3162613,5.9,2987337,2823866,338747,76821194,854942651,2023.06.29
88,Seven Nation Army,White Stripes,03397,XLXR,31,90,101,396,3139042,1.2,3102104,2923946,215096,78984190,823724264,2023.06.29
89,Freaks,Surf Curse,ATLANTIC GROUP,ATLG,8,93,98,115,3126537,2.2,3058547,1919075,1207462,84445568,435773884,2023.06.29
90,Need 2,Pinegrove,,,78,78,134,3,3126225,-3.9,3251640,3120500,5725,12210512,17161455,2023.06.29
91,Old Time Rock & Roll,Bob Seger & The Silver Bullet Band,CAPITOL MUSIC GROUP,CAP ,39,39,143,46,3110702,-26.8,4249175,1993514,1117188,52228538,401014642,2023.06.29
92,Simple Man,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,7,97,105,396,3110082,3.2,3013901,2670438,439644,72886426,933606693,2023.06.29
93,Your Love,Outfield,SONY/COLUMBIA,COL,31,95,113,300,3106252,2.9,3018946,2634322,471930,71008046,637966592,2023.06.29
94,Just Pretend,Bad Omens, SUMERIAN RECORDS,SUME,90,145,151,36,3102569,25.8,2466503,2722144,380425,61598768,95311963,2023.06.29
95,Here Comes The Sun,Beatles,CAPITOL MUSIC GROUP,CAP ,23,98,99,321,3097427,3.1,3003259,2996934,100493,70131579,717141268,2023.06.29
96,Landslide,Fleetwood Mac,WARNER RECORDS,WAR ,13,91,95,295,3085932,-0.1,3090345,2915590,170342,77963458,720184111,2023.06.29
97,Lovers Rock,TV Girl,,,45,81,84,59,3073069,-3.5,3186101,2936207,136862,85483523,261247921,2023.06.29
98,Numb,Linkin Park,WARNER RECORDS,WAR ,2,100,102,396,3066182,2.4,2994258,2617651,448531,79478063,937583644,2023.06.29
99,Chop Suey!,System Of A Down,Columbia Records,COL ,6,96,90,396,3053966,1.3,3014871,2632688,421278,76817589,847693872,2023.06.29
100,Dog Days Are Over,Florence + The Machine,REPUBLIC RECORDS,R-RR,27,79,74,53,3051227,-5.0,3212523,2750182,301045,62442716,484190263,2023.06.29
101,I Love You So,Walters, WARNER Records,WAR ,4,67,79,90,3047116,-14.0,3541862,2075516,971600,83622788,461526493,2023.06.29
102,The Less I Know The Better,Tame Impala,INTERSCOPE/GEFFEN/A&M,INT ,1,89,96,329,3026811,-2.6,3106411,2832218,194593,77361333,930599855,2023.06.29
103,Back In Black,AC/DC,THE ORCHARD,ORCH,25,92,100,396,2952433,-4.4,3088611,2688714,263719,71349139,869558006,2023.06.29
104,Free Fallin',Tom Petty,INTERSCOPE/GEFFEN/A&M,INT ,4,115,132,298,2950235,6.3,2774990,2837659,112576,65430295,670512871,2023.06.29
105,Heart To Heart,Mac DeMarco,"MAC DEMARCO, LLC",MCMD,15,106,94,29,2917244,-0.5,2931210,2603719,313525,119776779,148061939,2023.06.29
106,Under The Bridge,Red Hot Chili Peppers,CAPITOL MUSIC GROUP,CAP ,47,101,110,396,2903535,-2.9,2988813,2571018,332517,68707679,782882394,2023.06.29
107,Hold The Line,Toto,Columbia Records,COL ,4,4,117,3,2882514,-67.6,8887494,1647024,1235490,49049906,344869349,2023.06.29
108,In the End,Linkin Park,WARNER RECORDS,WAR ,3,108,106,396,2879470,-0.4,2892077,2768591,110879,81845304,1000370619,2023.06.29
109,You Shook Me All Night Long,AC/DC,Columbia Records,COL ,43,107,111,337,2872689,-1.3,2910171,2694800,177889,67229888,703084982,2023.06.29
110,The Middle,Jimmy Eat World,INTERSCOPE/GEFFEN/A&M,INT ,85,110,116,354,2866492,1.2,2833767,2754542,111950,64812517,619184677,2023.06.29
111,Another One Bites The Dust,Queen,HOLLYWOOD RECORDS,HOL ,6,109,107,303,2849336,0.1,2846161,2822765,26571,69835869,954380814,2023.06.29
112,"Paint It, Black",Rolling Stones,ABKCO,ABK ,43,86,103,381,2832368,-9.9,3144192,2409421,422947,72516172,680503607,2023.06.29
113,Carry On My Wayward Son,Kansas,EPIC,EPIC,42,113,133,396,2807972,0.1,2806443,2539118,268854,72164312,783318160,2023.06.29
114,All The Small Things,Blink-182,INTERSCOPE/GEFFEN/A&M,INT ,65,105,131,394,2800111,-5.5,2962698,2586654,213457,61668102,643908974,2023.06.29
115,Walking on a Dream,Empire Of The Sun,ASTRALWERKS,ASTW,17,80,89,269,2798912,-12.5,3197538,2187603,611309,59348280,597811007,2023.06.29
116,Come As You Are,Nirvana,INTERSCOPE/GEFFEN/A&M,INT ,52,114,119,380,2781283,-0.6,2797609,2550262,231021,71328566,669533675,2023.06.29
117,Radioactive,Imagine Dragons,THE ORCHARD,ORCH,3,119,137,396,2771549,1.6,2728328,2364755,406794,74448872,1425658583,2023.06.29
118,House Of The Rising Sun,Animals,ABKCO,ABK ,45,132,144,371,2770265,7.9,2567845,2314098,456167,69826640,715637576,2023.06.29
119,Island in the Sun,Weezer,INTERSCOPE/GEFFEN/A&M,INT ,69,125,126,145,2746380,4.2,2635149,2387990,358390,56520308,539857158,2023.06.29
120,"Sex, Drugs, Etc.",Beach Weather,Arista,ARI,33,116,122,46,2740399,-1.2,2773953,2515612,224787,88093819,186122910,2023.06.29
121,Summer of '69,Bryan Adams,A&M RECORDS,AAM ,64,122,130,170,2731217,1.2,2699921,2584768,146449,58234565,526135446,2023.06.29
122,How To Save A Life,Fray,CAPITOL MUSIC GROUP,CAP,48,99,0,342,2719839,-9.3,2998721,1684569,1035270,50973039,651839999,2023.06.29
123,Rocket Man,Elton John,ISLAND,ISL ,12,118,124,323,2701836,-1.2,2735943,2564576,137260,70553806,812825637,2023.06.29
124,The Joker,Steve Miller Band,CAPITOL MUSIC GROUP,CAP ,28,126,148,221,2688401,2.8,2616235,2530026,158375,59157872,603390552,2023.06.29
125,Ho Hey,Lumineers,CAPITOL MUSIC GROUP,CAP ,37,137,149,382,2683460,5.5,2544650,2295564,387896,70373180,712891792,2023.06.29
126,More Than a Feeling,Boston,EPIC,EPIC,51,121,135,393,2673023,-1.1,2703628,2491517,181506,67394801,753122942,2023.06.29
127,You’re Gonna Go Far,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,35,112,35,3,2644728,-6.1,2816555,2606230,38498,9871981,9871981,2023.06.29
128,Misery Business,Paramore,FUELED BY RAMEN,FUER,24,123,115,176,2637179,-2.1,2693231,2444124,193055,64385664,590924613,2023.06.29
129,Tek It,Cafune,NEW ELEKTRA,NELK,6,166,154,64,2629524,13.1,2325854,2008855,620669,73884988,241703993,2023.06.29
130,Do I Wanna Know?,Arctic Monkeys,DOMINO,DOMI,24,133,127,396,2618582,2.0,2567208,2317272,301310,72019580,830064354,2023.06.29
131,Green Green Grass,George Ezra,Columbia Records,COL ,7,66,30,24,2609432,-27.4,3593028,899432,1710000,117302665,128504282,2023.06.29
132,Scar Tissue,Red Hot Chili Peppers,WARNER RECORDS,WAR ,97,138,146,222,2607007,2.9,2532988,2407566,199441,61888323,562911975,2023.06.29
133,Don't Stop Me Now,Queen,HOLLYWOOD RECORDS,HOL ,8,117,120,385,2604931,-4.9,2737907,2050509,554422,61984356,859374552,2023.06.29
134,POUR SOME SUGAR ON ME,Def Leppard,ISLAND,ISL ,37,128,125,242,2604575,0.2,2598634,2386830,217745,61538530,570581552,2023.06.29
135,Everywhere,Fleetwood Mac,WARNER RECORDS,WAR ,83,140,138,38,2597474,3.7,2504914,2264104,333370,61766910,335213911,2023.06.29
136,Gilded Lily,Cults, INDEPENDENT LABEL SUBMISSION,INDI,23,129,0,34,2590003,0.0,2589225,1423155,1166848,86599446,130046130,2023.06.29
137,Fast Car,Tracy Chapman,SHTF,SHTF,59,124,155,71,2585010,-1.9,2635455,2247401,337609,52604801,477778763,2023.06.29
138,NOTION,Rare Occasions,ATLANTIC GROUP,ATLG,9,111,68,83,2578989,-8.4,2816678,1473444,1105545,64162054,270012514,2023.06.29
139,Welcome To The Jungle,Guns N' Roses,INTERSCOPE/GEFFEN/A&M,INT ,26,131,142,396,2578016,-0.2,2582164,2332557,245459,63951379,769069309,2023.06.29
140,Under Pressure,Queen & David Bowie,SONY/COLUMBIA,COL,3,130,162,360,2573731,-0.5,2587683,2489859,83872,62393143,804270366,2023.06.29
