US_Chart - Rock On-Demand Overall Streaming (weekly),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,week_of
Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,2023.06.22
93,Freaks,Surf Curse,ATLANTIC GROUP,ATLG,8,98,98,114,3058522,1.4,3017537,1980202,1078320,81319006,432647322,2023.06.22
94,Shut Up and Dance,Walk The Moon, RCA,RCA,3,86,78,388,3019624,-5.6,3198581,2794970,224654,71741233,1083452575,2023.06.22
95,Your Love,Outfield,SONY/COLUMBIA,COL,31,113,101,299,3018840,7.8,2800614,2587916,430924,67901688,634860234,2023.06.22
96,Chop Suey!,System Of A Down,Columbia Records,COL ,6,90,76,395,3014793,-4.0,3139857,2617031,397762,73763545,844639828,2023.06.22
97,Simple Man,Lynyrd Skynyrd,INTERSCOPE/GEFFEN/A&M,INT ,7,105,84,395,3013880,3.8,2904441,2600280,413600,69776323,930496590,2023.06.22
98,Here Comes The Sun,Beatles,CAPITOL MUSIC GROUP,CAP ,23,99,85,320,3003240,0.2,2997563,2895134,108106,67034133,714043822,2023.06.22
99,How To Save A Life,Fray,CAPITOL MUSIC GROUP,CAP,48,0,0,341,2998698,45.1,2065978,1645614,1353084,48253177,649120137,2023.06.22
100,Numb,Linkin Park,WARNER RECORDS,WAR ,2,102,91,395,2994200,1.5,2949903,2525214,468986,76411823,934517404,2023.06.22
101,Under The Bridge,Red Hot Chili Peppers,CAPITOL MUSIC GROUP,CAP ,47,110,105,395,2988797,5.5,2832327,2551899,436898,65804128,779978843,2023.06.22
102,Enter Sandman,Metallica,WARNER RECORDS,WAR ,31,108,93,395,2987329,4.2,2866313,2768529,218800,73658573,851780030,2023.06.22
103,Je Te Laisserai Des Mots,Patrick Watson,SECRET CITY RECS,CTY ,19,114,86,84,2977616,6.3,2801322,1267891,1709725,73874398,247504716,2023.06.22
104,Waste,Kxllswxtch,,,22,58,31,24,2967744,-23.6,3882009,1361032,1606712,74408586,98849135,2023.06.22
105,All The Small Things,Blink-182,INTERSCOPE/GEFFEN/A&M,INT ,65,131,121,393,2962623,14.5,2588522,2654414,308209,58867916,641108788,2023.06.22
106,Heart To Heart,Mac DeMarco,"MAC DEMARCO, LLC",MCMD,15,94,73,28,2931200,-4.6,3073225,2640620,290580,116859525,145144685,2023.06.22
107,You Shook Me All Night Long,AC/DC,Columbia Records,COL ,43,111,97,336,2910100,3.2,2821159,2703487,206613,64357128,700212222,2023.06.22
108,In the End,Linkin Park,WARNER RECORDS,WAR ,3,106,94,395,2892033,-0.2,2898719,2776937,115096,78965790,997491105,2023.06.22
109,Another One Bites The Dust,Queen,HOLLYWOOD RECORDS,HOL ,6,107,104,302,2846094,-1.0,2875139,2816625,29469,66986466,951531411,2023.06.22
110,The Middle,Jimmy Eat World,INTERSCOPE/GEFFEN/A&M,INT ,85,116,108,353,2833717,2.1,2774079,2732486,101231,61945975,616318135,2023.06.22
111,NOTION,Rare Occasions,ATLANTIC GROUP,ATLG,9,68,67,82,2816675,-22.5,3635641,1480954,1335721,61583062,267433522,2023.06.22
112,You’re Gonna Go Far,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,35,35,0,2,2816542,-36.1,4408465,2777518,39024,7227240,7227240,2023.06.22
113,Carry On My Wayward Son,Kansas,EPIC,EPIC,42,133,90,395,2806215,9.1,2572223,2527922,278293,69356112,780509960,2023.06.22
114,Come As You Are,Nirvana,INTERSCOPE/GEFFEN/A&M,INT ,52,119,110,379,2797543,1.9,2744532,2572484,225059,68547217,666752326,2023.06.22
115,Free Fallin',Tom Petty,INTERSCOPE/GEFFEN/A&M,INT ,4,132,100,297,2774810,7.6,2578668,2661835,112975,62479880,667562456,2023.06.22
116,"Sex, Drugs, Etc.",Beach Weather,Arista,ARI,33,122,75,45,2773940,2.4,2708023,2527407,246533,85353407,183382498,2023.06.22
117,Don't Stop Me Now,Queen,HOLLYWOOD RECORDS,HOL ,8,120,107,384,2737892,0.7,2719896,2112835,625057,59379410,856769606,2023.06.22
118,Rocket Man,Elton John,ISLAND,ISL ,12,124,95,322,2735848,2.3,2673515,2600443,135405,67851875,810123706,2023.06.22
119,Radioactive,Imagine Dragons,THE ORCHARD,ORCH,3,137,119,395,2728247,7.2,2544525,2271914,456333,71677242,1422886953,2023.06.22
120,Long Cool Woman In A Black Dress,Hollies,EPIC,EPIC,23,177,153,30,2705535,20.1,2253296,1977915,727620,52486314,448353325,2023.06.22
121,More Than a Feeling,Boston,EPIC,EPIC,51,135,113,392,2703415,5.6,2561229,2514927,188488,64721565,750449706,2023.06.22
122,Summer of '69,Bryan Adams,A&M RECORDS,AAM ,64,130,112,169,2699437,4.1,2594063,2560132,139305,55502864,523403745,2023.06.22
123,Misery Business,Paramore,FUELED BY RAMEN,FUER,24,115,103,175,2693182,-3.6,2794395,2483861,209321,61748436,588287385,2023.06.22
124,Fast Car,Tracy Chapman,SHTF,SHTF,59,155,129,70,2635244,9.6,2404424,2294186,341058,50019580,475193542,2023.06.22
125,Island in the Sun,Weezer,INTERSCOPE/GEFFEN/A&M,INT ,69,126,88,144,2635067,-0.9,2657735,2424808,210259,53773846,537110696,2023.06.22
126,The Joker,Steve Miller Band,CAPITOL MUSIC GROUP,CAP ,28,148,111,220,2616050,6.4,2458010,2463133,152917,56469286,600701966,2023.06.22
127,Heaven,Los Lonely Boys,EPIC,EPIC,74,0,0,3,2600536,45.4,1788470,420094,2180442,28548661,133754467,2023.06.22
