Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,week_of
128,Wreckage,Nate Smith,RCA NASHVILLE,RCNA,22,125,94,29,2407935,0.5,2395718,2350923,57012,71966911,81293090,2023.06.22
129,I Deserve A Drink,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,25,128,123,16,2396359,1.0,2373780,2285992,110367,63532337,63532337,2023.06.22
130,Up Down,Morgan Wallen Feat. Florida Georgia Line,"BIG LOUD RECORDS, LLC",BGL ,9,126,173,297,2395708,0.7,2378374,2155601,240107,49788720,754692922,2023.06.22
131,Got What I Got,Jason Aldean,BROKEN BOW RECO,BB2 ,1,145,133,193,2374586,6.1,2237959,2121205,253381,57524563,617931506,2023.06.22
132,Out Of That Truck,Carrie Underwood,CAPITOL NASHVILLE,CAPN,93,93,109,13,2373016,-13.9,2755430,2356571,16445,32896848,32896848,2023.06.22
133,If You Go Down (I'M Going Down Too),Kelsea Ballerini,,,89,89,160,16,2360989,-16.8,2836153,2300947,60042,45301634,54960585,2023.06.22
134,Southern Nights,Glen Campbell,CAPITOL NASHVILLE,CAPN,29,152,150,27,2345334,8.0,2171494,1076896,1268438,52696708,220260819,2023.06.22
135,Growin' Up And Gettin' Old,Luke Combs,COLUMBIA NASHVILLE,CLNV,17,127,124,21,2341641,-1.4,2374709,2311647,29994,76018791,76018791,2023.06.22
136,Looking For You,Chris Young,,,136,158,176,7,2328435,8.9,2138454,2304382,24053,35178945,35178945,2023.06.22
137,Heartache On The Dance Floor,Jon Pardi,CAPITOL NASHVILLE,CAPN,7,140,149,309,2325409,2.4,2271838,2289410,35999,47451111,570717445,2023.06.22
138,Lil Bit,Nelly & Florida Georgia Line,Columbia Records,COL ,1,142,118,139,2322469,3.2,2250859,2193615,128854,58887931,519085225,2023.06.22
139,Dying Man,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,19,133,113,16,2316527,-0.5,2327615,2262043,54484,71079456,71079456,2023.06.22
140,Drinkaby,Cole Swindell, WARNER Records,WAR ,137,163,137,4,2315030,9.6,2111363,2276424,38606,28065676,28065676,2023.06.22
141,Need You Now,Lady A,CAPITOL NASHVILLE,CAPN,58,162,144,395,2300316,8.5,2120635,1909278,391038,56979752,639148198,2023.06.22
142,Night Shift,Jon Pardi,CAPITOL NASHVILLE,CAPN,14,135,154,174,2297873,-1.0,2320579,2250800,47073,46852855,454601344,2023.06.22
143,Bottoms Up,Brantley Gilbert,ELI YOUNG,VALO,14,131,132,395,2292395,-3.0,2363829,2010576,281819,52139947,696199258,2023.06.22
144,Chattahoochee,Alan Jackson,RCA LABEL GROUP SMG,RLSG,95,147,138,281,2290170,3.6,2210188,2089604,200566,45490850,437112966,2023.06.22
145,What Ifs,Kane Brown Feat. Lauren Alaina,RCA NASHVILLE,RCNA,1,148,125,342,2281354,4.2,2189495,2134050,147304,55620939,1182221494,2023.06.22
146,For What It's Worth,Breland,ATLANTIC GROUP,ATLG,22,134,141,41,2251022,-3.2,2325969,2243915,7107,50053076,97748240,2023.06.22
147,Nose On The Grindstone,Tyler Childers, INDEPENDENT LABEL SUBMISSION,INDI,121,139,145,52,2249121,-1.3,2278038,2120583,128538,48387932,276064154,2023.06.22
148,Neon Star (Country Boy Lullaby),Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,23,136,130,16,2240231,-3.3,2316823,2160077,80154,64738801,64738801,2023.06.22
149,865,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,7,146,134,128,2234876,-0.1,2237634,2129998,104878,56000033,331183521,2023.06.22
150,Tennessee Fan,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,3,138,135,29,2218180,-2.8,2282674,2177512,40668,95229999,121078195,2023.06.22
151,If He Wanted To He Would,Kylie Morgan,MCA NASHVILLE,MCAN,65,197,157,34,2217602,18.9,1865814,2113690,103912,52406014,86098714,2023.06.22
152,Whiskey Friends,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,14,141,131,16,2208033,-2.1,2254524,2124362,83671,70746011,70746011,2023.06.22
153,Halfway To Hell,Jelly Roll,,,74,129,74,3,2200674,-7.1,2369798,2098248,102426,8079251,8079251,2023.06.22
154,Dear Alcohol,Dax,SONY/COLUMBIA,COL,24,144,166,67,2198752,-2.0,2242919,1586164,612588,59035339,190045220,2023.06.22
155,But I Got A Beer In My Hand,Luke Bryan,CAPITOL NASHVILLE,CAPN,133,0,0,3,2197562,41.7,1550426,2163823,33739,13252787,13252787,2023.06.22
156,"Forever And Ever, Amen",Randy Travis,WARNER RECORDS,WAR ,114,151,153,175,2126000,-2.5,2180456,1948767,177233,48813490,399482110,2023.06.22
157,Man! I Feel Like A Woman!,Shania Twain,MERCURY NASHVILLE,MERN,118,149,161,122,2124580,-2.9,2187589,1717906,406674,47648170,376461451,2023.06.22
158,Love You Again,Chase Matthew, WARNER Records,WAR ,104,114,0,5,2124177,-15.9,2524594,2077787,46390,36673332,40699656,2023.06.22
159,Good Time,Niko Moon,RCA NASHVILLE,RCNA,2,182,143,186,2120540,9.5,1936446,1910624,209916,47196719,533101010,2023.06.22
160,23,Chayce Beckham, BMG DISTRIBUTION,BMG ,86,153,155,73,2115099,-2.4,2166092,1985256,129843,48726352,157908672,2023.06.22
161,Knee Deep,Zac Brown Band Feat. Jimmy Buffett,ATLANTIC GROUP,ATLG,55,165,152,311,2111966,1.2,2087459,2014028,97938,39713393,505295517,2023.06.22
162,Should'Ve Been A Cowboy,Toby Keith,MERCURY NASHVILLE,MERN,103,160,136,51,2109281,-1.2,2133990,1679689,429592,41876310,341858589,2023.06.22
163,Revival,Zach Bryan,,,156,157,156,4,2100676,-2.0,2144223,2065435,35241,36528252,87457884,2023.06.22
164,This Is How We Roll,Florida Georgia Line,BMX,BMX ,14,159,159,386,2094377,-2.2,2140631,1924095,170282,43649111,710943545,2023.06.22
165,American Kids,Kenny Chesney,COLUMBIA NASHVILLE,CLNV,65,167,170,206,2093133,1.3,2066623,2049106,44027,36124572,415121012,2023.06.22
166,The Good Ones,Gabby Barrett, WARNER Records,WAR ,2,150,158,157,2084694,-4.6,2184845,1954063,130631,50096603,557711510,2023.06.22
167,Spin You Around,Morgan Wallen, INDEPENDENT LABEL SUBMISSION,INDI,74,161,147,148,2083901,-2.0,2127275,2083901,0,45720783,289480000,2023.06.22
168,The Good I'Ll Do,Zach Bryan,Warner Records,WAR,53,166,151,31,2063966,-0.8,2081170,1991191,72775,57379981,94976756,2023.06.22
169,We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,REPUBLIC RECORDS,R-RR,9,170,148,22,2061730,0.8,2046061,1642091,419639,44104732,102372562,2023.06.22
170,That's My Kind Of Night,Luke Bryan,CAPITOL NASHVILLE,CAPN,18,181,0,306,2051259,5.1,1952014,1984699,66560,36901442,537319883,2023.06.22
171,Fix'N To Break,Bailey Zimmerman, WARNER Records,WAR ,26,154,162,10,2041578,-5.7,2164342,2018982,22596,40249362,40249362,2023.06.22
