Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,week_of
99,One More Time,Daft Punk,ASTRALWERKS,ASTW,7,90,89,395,1083184,-6.0,1152087,933531,149653,27488637,315391530,2023.06.22
100,Where Are You Now,Lost Frequencies & Calum Scott, RCA,RCA,12,97,109,98,1082675,-1.1,1094386,1043521,39154,27579066,152539904,2023.06.22
101,"Harder, Better, Faster, Stronger",Daft Punk,ULTA,ULTA,12,46,99,391,1081946,-43.5,1914492,470393,611553,33422976,384403416,2023.06.22
102,Better Off Alone,Alice Deejay,THE ORCHARD,ORCH,4,106,92,95,1069276,5.5,1013882,614777,454499,24641181,181342667,2023.06.22
103,Boogie Shoes,KC & The Sunshine Band, WAR - PARLOPHONE,WAR ,79,101,112,167,1063136,1.3,1049474,974402,88734,23789326,169301424,2023.06.22
104,Roses,Chainsmokers Feat. Rozes,SONY/COLUMBIA,COL,1,100,98,395,1049707,-1.8,1069418,1045540,4167,25062724,789847994,2023.06.22
105,Oblivion,Grimes, 4 A.D.,4AD,9,109,111,186,1046237,4.4,1002254,602460,443777,24693264,176168311,2023.06.22
106,Genesis,Grimes, 4 A.D.,4AD ,45,94,88,44,1042994,-6.2,1111612,872032,170962,31397482,125190071,2023.06.22
107,Feels,Calvin Harris,Columbia Records,COL ,1,107,107,314,1031402,2.8,1003016,909610,121792,29767885,563458684,2023.06.22
108,Never Be Like You,Flume Feat. Kai (Canada),MOM & POP MUSIC,MMPZ,3,104,104,388,1021649,-0.6,1028253,975883,45766,21205227,550472698,2023.06.22
109,You Spin Me Round (Like A Record),Dead Or Alive,CITY LIGHTS PIC,CLP ,33,116,93,390,1007374,6.6,945330,694206,313168,20941908,293868414,2023.06.22
110,ily (i love you baby),Surf Mesa Feat. Emilee,ASTRALWERKS,ASTW,1,129,148,172,999762,15.0,869416,716761,283001,20817367,337860838,2023.06.22
111,Goosebumps,Travis Scott & HVME, SONY MUSIC ENTERTAINMENT INC.,SMEI,1,108,116,137,994941,-0.9,1004214,954311,40630,26304631,329260094,2023.06.22
112,Lay Low,Tiesto,INTERNATIONAL R,IRI,73,114,120,24,991229,4.5,948114,951808,39421,20406999,20406999,2023.06.22
113,Heart Racing,"Kanii, Riovaz, Nimstarr",Warner Records,WAR,41,88,76,5,989206,-17.7,1201790,982082,7124,6821431,6821431,2023.06.22
114,BINGO,Turtles,EMI/,EMI/,114,131,0,2,981086,13.4,864836,4397,976689,4484384,8589287,2023.06.22
115,It Ain't Me,Kygo Feat. Selena Gomez,INTERSCOPE/GEFFEN/A&M,INT ,2,113,121,332,978654,0.8,971323,915281,63373,24569320,722181194,2023.06.22
116,Vendetta!,Mupp X Sadfriendd,,,10,112,119,55,975313,-0.4,978907,819193,156120,31574463,81363546,2023.06.22
117,DARK BEACH,Pastel Ghost,CITY LIGHTS PIC,CLP ,68,87,123,90,975002,-18.5,1196545,746513,228489,22597006,72500854,2023.06.22
118,Among Us,Sembari +,,,3,119,68,44,971683,4.5,930048,8522,963161,26531586,68033123,2023.06.22
119,Rockabye,Clean Bandit,SONY MUSIC LATIN,SML,3,122,122,348,954814,2.8,928390,739319,215495,28883742,777035315,2023.06.22
120,Fire For You,Cannons (Electronic),SONY/COLUMBIA,COL,53,115,127,142,948123,0.2,946010,831194,116929,23161316,134733777,2023.06.22
121,Don'T You Want Me,Human League,ASTRALWERKS,ASTW,108,121,126,309,944575,1.7,928555,874718,69857,21571869,231141437,2023.06.22
122,Blue (Da Ba Dee),Eiffel 65,REPUBLIC RECORDS,R-RR,17,83,108,395,942791,-23.4,1231357,660699,282092,24015720,526973595,2023.06.22
123,Resonance,Home,,,69,117,124,133,938570,-0.4,941912,864108,74462,24930872,139086150,2023.06.22
124,Escape,Kx5 Feat. Hayla,,,44,110,117,67,930818,-5.2,981964,896624,34194,23998078,62432040,2023.06.22
125,Remember,Becky Hill & David Guetta,INTERSCOPE/GEFFEN/A&M,INT ,9,124,132,85,929866,1.6,915286,787147,142719,30595523,99750144,2023.06.22
126,Stay (With Alessia Cara),Zedd & Alessia Cara,INTERSCOPE/GEFFEN/A&M,INT ,1,118,125,331,928243,-1.2,939671,877213,51030,22993380,845520133,2023.06.22
127,Policeman,Eva Simons,REPUBLIC RECORDS,R-RR,60,137,60,17,912915,10.7,824476,43429,869486,10855362,52599675,2023.06.22
128,Take It Off,FISHER & Aatig,ATLANTIC GROUP,ATLG,70,70,0,2,910783,-33.4,1368469,898072,12711,2284211,2284211,2023.06.22
129,Paris,Chainsmokers,SONY/COLUMBIA,COL,1,127,128,336,891131,0.5,886588,847264,43867,23025994,633680985,2023.06.22
130,Runaway (U & I),Galantis,ATLANTIC GROUP,ATLG,12,128,134,395,880017,1.0,871343,803235,76782,22091818,479203191,2023.06.22
131,HEY BROTHER,Avicii,ISLAND,ISL,4,132,135,395,863547,0.6,858305,753004,110543,21025285,426299769,2023.06.22
