Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,Genre,Release Date,TW Total Activity,% Chg Total Activity,LW Total Activity,TW Song Sales,TW On-Demand Audio Streams,TW On-Demand Video Streams,TW Total SES (Audio + Video),week_of
79,Paybach,Gunna,300 ENTERTAINME,300E,79,,,1,R&B/Hip-Hop,06/16/2023,44874,,,27,5686285,249386,44847,2023.06.22
80,Jimmy Cooks,Drake Feat. 21 Savage,OVO / REPUBLIC RECORDS,R-RR,1,71,87,53,R&B/Hip-Hop,06/16/2022,44420,-2.4,45507,179,5940462,235730,44241,2023.06.22
81,Chemical,Post Malone,MERCURY / REPUBLIC RECORDS,R-MR,11,74,64,10,Pop,04/13/2023,44177,-1.4,44798,1986,5370409,329525,42191,2023.06.22
82,Bad Habit,Steve Lacy, RCA,RCA,1,75,82,51,R&B/Hip-Hop,06/29/2022,43994,-1.8,44785,212,6081435,426766,43782,2023.06.22
83,Princess Diana,Ice Spice,TENTHOUSAND PROJECTS/CAPITOL,10K,2,70,62,10,R&B/Hip-Hop,01/20/2023,43909,-3.8,45622,798,5413211,1129075,43111,2023.06.22
84,Rich Flex,Drake & 21 Savage,OVO / REPUBLIC RECORDS,R-RR,1,65,76,33,R&B/Hip-Hop,11/03/2022,43316,-6.1,46120,275,5865150,239594,43041,2023.06.22
85,Plebada,El Alfa & Peso Pluma,THE ORCHARD,ORCH,55,55,,2,Latin,06/08/2023,43267,-13.3,49880,13,5462748,1252735,43254,2023.06.22
86,She Had Me At Heads Carolina,Cole Swindell,Warner Music Nashville,WNS,15,89,93,57,Country,04/08/2022,43129,3.6,41642,902,5451032,257742,42227,2023.06.22
87,Dancin' In The Country,Tyler Hubbard,MCA NASHVILLE,MCAN,37,84,83,12,Country,08/19/2022,43008,1.4,42431,1603,5380062,205821,41405,2023.06.22
88,Dance The Night,Dua Lipa,ATLANTIC GROUP,ATLG,51,73,53,4,Children,05/25/2023,42827,-4.9,45012,2722,5181650,173416,40105,2023.06.22
89,I'm Good (Blue),David Guetta & Bebe Rexha,WARNER RECORDS,WAR ,11,99,90,43,Dance/Electronic,08/23/2022,42768,7.2,39898,1659,5251296,474872,41109,2023.06.22
90,Just Wanna Rock,Lil Uzi Vert,ATLANTIC GROUP,ATLG,6,79,79,36,R&B/Hip-Hop,10/07/2022,42715,-3.0,44015,478,5930940,645823,42237,2023.06.22
91,Blank Space,Taylor Swift,BIG MACHINE,BGMA,82,82,95,15,Pop,08/23/2010,42380,-0.6,42639,462,5494072,499784,41918,2023.06.22
92,Until I Found You,Stephen Sanchez,MERCURY / REPUBLIC RECORDS,R-MR,24,76,80,58,Rock,09/01/2021,42370,-5.3,44758,1006,5674747,543559,41364,2023.06.22
93,Lavender Haze,Taylor Swift,REPUBLIC RECORDS,R-RR,2,78,73,35,Pop,10/19/2022,42334,-4.0,44097,803,5399644,196878,41531,2023.06.22
94,Amg,"Natanael Cano, Peso Pluma & Gabito Ballesteros", WEA LATINA,WEAL,23,67,63,23,Latin,11/22/2022,42214,-8.3,46031,152,5843826,754196,42062,2023.06.22
95,Thank God,Kane Brown w/ Katelyn Brown,RCA NASHVILLE,RCNA,8,95,85,41,Country,09/09/2022,41910,2.9,40737,1761,5005597,571097,40149,2023.06.22
96,Beautiful Crazy,Luke Combs,CLNV,CLNV,26,86,98,258,Country,05/24/2018,41281,-1.7,41998,545,5271122,486797,40736,2023.06.22
97,Go Crazy,Gunna,300 ENTERTAINME,300E,97,,,1,R&B/Hip-Hop,06/16/2023,41248,,,47,5232853,215356,41201,2023.06.22
98,Under The Influence,Chris Brown,RCA,RCA,5,91,99,47,R&B/Hip-Hop,06/28/2019,41237,-0.6,41471,485,4954604,1242725,40752,2023.06.22
99,Money Trees,Kendrick Lamar Feat. Jay Rock,INTERSCOPE/GEFFEN/A&M,INT ,80,80,91,53,R&B/Hip-Hop,09/27/2012,41228,-6.1,43916,275,5470117,497051,40953,2023.06.22
100,Ain't That Some,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,7,85,96,16,Country,01/28/2023,41004,-2.4,42018,484,5260162,250969,40520,2023.06.22
101,Fall In Love,Bailey Zimmerman,Warner Music Nashville,WNS,22,108,107,66,Country,02/11/2022,40868,5.7,38674,429,5225815,407981,40439,2023.06.22
102,Save Me (With Lainey Wilson),Jelly Roll,,,102,150,108,3,Country,05/12/2023,40861,19.9,34088,4121,4629143,166185,36740,2023.06.22
103,Spin Bout U,Drake & 21 Savage,OVO / REPUBLIC RECORDS,R-RR,5,92,104,33,R&B/Hip-Hop,11/04/2022,40004,-3.2,41327,155,5174994,618839,39849,2023.06.22
104,Fragil,Yahritza Y Su Esencia & Grupo Frontera,SONY/COLUMBIA,COL,65,107,105,11,Latin,04/07/2023,39629,1.5,39035,309,4947326,1412072,39320,2023.06.22
105,Titi Me Pregunto,Bad Bunny,Rimas Entertainment,RIMA,4,94,106,59,Latin,05/05/2022,39466,-3.5,40890,388,5015748,563322,39078,2023.06.22
106,Bebe Dame,Fuerza Regida & Grupo Frontera,SONY MUSIC LATIN,SML,9,106,111,26,Latin,12/15/2022,39363,0.6,39111,321,4964565,1170015,39042,2023.06.22
107,Heartless,Diplo & Julia Michaels Feat. Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,20,101,122,189,Country,08/15/2019,39280,-0.9,39637,298,5161169,288178,38982,2023.06.22
108,Save Your Tears,Weeknd,REPUBLIC RECORDS,R-RR,2,100,124,133,Pop,03/20/2020,39235,-1.5,39832,473,4899548,823085,38762,2023.06.22
109,TQG,Karol G & Shakira,UNIVERSAL MUSIC LATIN,UMLE,5,96,97,17,Latin,02/15/2023,39151,-2.8,40269,314,4797906,1206708,38837,2023.06.22
110,Heart Like A Truck,Lainey Wilson,BROKEN BOW RECO,BB2 ,29,120,125,33,Country,05/16/2022,38940,5.9,36757,1609,4702052,549131,37331,2023.06.22
111,Shake It Off,Taylor Swift,BIG MACHINE,BGMA,100,117,117,16,Pop,05/23/2011,38790,5.0,36958,684,4826373,460692,38106,2023.06.22
112,Truck Bed,Hardy,Big Loud Records,"BLR
",112,122,166,4,Country,10/10/2022,38752,5.8,36644,1207,4881461,141612,37545,2023.06.22
113,Players,Coi Leray,UPTOWN / REPUBLIC RECORDS,R-RR,24,97,78,25,R&B/Hip-Hop,11/25/2022,38533,-3.9,40117,1188,4926620,311564,37345,2023.06.22
114,Levitating,Dua Lipa Feat. Dababy,WARNER RECORDS,WAR ,3,102,115,142,Pop,03/25/2020,38480,-2.8,39583,713,4885311,395143,37767,2023.06.22
115,Blinding Lights,Weeknd,REPUBLIC RECORDS,R-RR,1,116,109,186,R&B/Hip-Hop,11/27/2019,38394,3.6,37047,666,4857147,423485,37728,2023.06.22
116,Moonlight,Kali Uchis,INTERSCOPE/GEFFEN/A&M,INT ,84,113,118,17,R&B/Hip-Hop,08/23/1996,38081,0.0,38082,177,5393575,483860,37904,2023.06.22
117,Bluffin',Gucci Mane Feat. Lil Baby,ATLANTIC GROUP,ATLG,117,,,1,R&B/Hip-Hop,06/15/2023,37972,,,206,4553259,1030237,37766,2023.06.22
118,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,82,129,133,52,Rock,03/11/1985,37874,6.2,35650,744,4763536,674835,37130,2023.06.22
119,Don't Stop Believin',Journey,Columbia Records,COL ,81,127,120,190,Rock,07/17/1981,37798,4.5,36166,739,4870718,75647,37059,2023.06.22
120,Me Porto Bonito,Bad Bunny & Chencho Corleone,THE ORCHARD,ORCH,2,110,128,59,Latin,05/05/2022,37414,-3.0,38553,149,4860581,563890,37265,2023.06.22
121,Cuff It,Beyonce,COLUMBIA,COL,4,90,102,47,R&B/Hip-Hop,07/28/2022,37383,-10.0,41539,539,4704390,400698,36844,2023.06.22
122,Classy 101,Feid,UNIVERSAL MUSIC LATIN,UMLE,122,146,151,7,Latin,03/30/2023,37356,9.4,34137,176,4666951,735675,37180,2023.06.22
123,Popular,"Madonna, Playboi Carti, The Weeknd",XO / REPUBLIC RECORDS,R-RR,26,83,26,3,R&B/Hip-Hop,05/29/2023,37225,-12.5,42537,435,4817430,140670,36790,2023.06.22
124,When It Rains It Pours,Luke Combs,SME/LEGACY RECORDINGS,LEGC,65,115,132,130,Country,08/10/2016,37177,0.0,37171,408,4726708,453451,36769,2023.06.22
125,Trance,Metro Boomin Feat. Travis Scott & Young Thug,REPUBLIC RECORDS,R-RR,23,103,110,25,R&B/Hip-Hop,12/02/2022,36903,-6.7,39559,68,5043350,217652,36835,2023.06.22
126,Hits Different,Taylor Swift,REPUBLIC RECORDS,R-RR,11,93,54,4,Pop,10/21/2022,36744,-10.2,40903,680,4609778,72878,36064,2023.06.22
127,Unholy,Sam Smith & Kim Petras,CAPITOL RECORDS,CAP,1,123,103,39,Pop,09/22/2022,36405,-0.6,36629,588,4636097,468777,35817,2023.06.22
128,wait in the truck,Hardy Feat. Lainey Wilson,Big Loud Records,BLR,21,118,116,43,Country,08/25/2022,36396,-1.4,36924,1247,4296843,648203,35149,2023.06.22
129,Style,Taylor Swift,BIG MACHINE,BGMA,115,119,137,13,Pop,10/11/2010,36345,-1.3,36824,432,4790982,229182,35913,2023.06.22
130,Angel Pt. 1,"Jimin Feat. Kodak Black, Nle Choppa, Jvke & Muni Long",,,62,,,2,R&B/Hip-Hop,05/19/2023,36317,,,4642,4692762,350237,31675,2023.06.22
131,Too Many Nights,Metro Boomin & Future Feat. Don Toliver,REPUBLIC RECORDS,R-RR,10,109,134,29,R&B/Hip-Hop,12/02/2022,36196,-6.3,38615,118,4810699,378262,36078,2023.06.22
132,Born Rich,Gunna,300 ENTERTAINME,300E,132,,,1,R&B/Hip-Hop,06/16/2023,36101,,,23,4589595,136069,36078,2023.06.22
133,Low Down,Lil Baby,CAPITOL MUSIC GROUP,CAP ,32,104,113,16,R&B/Hip-Hop,02/28/2020,36069,-8.5,39428,143,4864686,197844,35926,2023.06.22
134,Lover,Taylor Swift Feat. Shawn Mendes,REPUBLIC RECORDS,R-RR,3,136,147,43,Pop,08/15/2019,35880,2.2,35093,796,4638466,171905,35084,2023.06.22
135,El Gordo Trae El Mando,Chino Pacas,,,41,114,114,19,Latin,01/24/2023,35845,-5.2,37829,88,5020486,573755,35757,2023.06.22
136,Shivers,Ed Sheeran,ATLANTIC GROUP,ATLG,5,139,131,90,Pop,01/12/2021,35617,2.0,34908,888,4432329,292156,34729,2023.06.22
137,Chanel,Becky G & Peso Pluma, RCA,RCA,41,112,94,11,Latin,03/30/2023,35538,-6.7,38085,180,4564881,1151690,35358,2023.06.22
138,Sweater Weather,Neighbourhood,Columbia Records,COL ,27,135,140,141,Rock,04/30/2012,35138,-0.3,35254,162,4862985,415500,34976,2023.06.22
139,I Wonder,Kanye West,DEF JAM RECORDINGS,DEF ,139,140,162,5,R&B/Hip-Hop,08/24/2007,35040,0.7,34793,211,4757927,586440,34829,2023.06.22
140,Ch Y La Pizza,Fuerza Regida & Natanael Cano,SONY MUSIC LATIN,SML,52,134,127,15,Latin,12/01/2022,35002,-1.2,35443,78,4554319,954142,34924,2023.06.22
141,You Should Probably Leave,Chris Stapleton,MERCURY NASHVILLE,MERN,46,147,157,102,Country,10/13/2020,34993,2.6,34121,606,4435474,199762,34387,2023.06.22
142,PINK + WHITE,Frank Ocean, INDEPENDENT LABEL SUBMISSION,INDI,47,145,159,29,R&B/Hip-Hop,08/20/2016,34904,2.2,34140,142,4707508,197272,34762,2023.06.22
143,Cardigan,Taylor Swift,UNIVERSAL MUSIC ENTERPRISES,UME ,1,128,144,26,Pop,07/23/2020,34809,-3.5,36070,412,4635806,171832,34397,2023.06.22
144,Turned Your Back,Gunna,300 ENTERTAINME,300E,144,,,1,R&B/Hip-Hop,06/16/2023,34774,,,34,4393802,227725,34740,2023.06.22
145,America Has A Problem,Beyonce,Columbia Records,COL ,21,77,61,7,R&B/Hip-Hop,07/28/2022,34771,-21.4,44231,217,4537963,234263,34554,2023.06.22
146,It Matters To Her,Scotty McCreery,THE ORCHARD,ORCH,121,141,121,3,Country,09/17/2021,34699,0.1,34667,746,4289818,49361,33953,2023.06.22
147,Buy Dirt,Jordan Davis Feat. Luke Bryan,MCA NASHVILLE,MCAN,24,187,167,86,Country,05/15/2021,34530,10.5,31247,545,4575172,147708,33985,2023.06.22
148,More Than My Hometown,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,20,166,155,138,Country,04/16/2020,34248,3.5,33099,358,4441399,213893,33890,2023.06.22
149,Don't Blame Me,Taylor Swift,BIG MACHINE,BGMA,107,159,145,15,Pop,09/26/2011,34243,1.7,33679,478,4568838,146862,33765,2023.06.22
150,Igualito A Mi Apa,Fuerza Regida & Peso Pluma,SONY MUSIC LATIN,SML,76,153,136,11,Latin,12/20/2022,34150,0.4,34016,152,4408430,847841,33998,2023.06.22
151,Sunroof,Nicky Youre & Dazy,SONY/COLUMBIA,COL,23,157,146,53,Pop,11/26/2021,34136,0.8,33853,849,4421377,209812,33287,2023.06.22
152,Perfect,Ed Sheeran,ATLANTIC GROUP,ATLG,1,155,139,314,Pop,03/03/2017,33986,0.2,33926,1050,4106790,633721,32936,2023.06.22
153,Oklahoma Smokeshow,Zach Bryan,Warner Records,WAR,79,143,143,22,Country,07/07/2022,33754,-1.7,34330,1168,4160408,254909,32586,2023.06.22
