Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,Genre,Release Date,TW Total Activity,% Chg Total Activity,LW Total Activity,TW Song Sales,TW On-Demand Audio Streams,TW On-Demand Video Streams,TW Total SES (Audio + Video),week_of
3,A Bar Song (Tipsy),Shaboozey,Empire,EMPR,3,4,4,9,Country,04/11/2024,292035,1.0,289015,21212,34197787,3383532,270823,2024.06.13
4,Espresso,Sabrina Carpenter,ISLAND,ISL,4,6,6,9,Pop,04/11/2024,283044,28.1,220978,8236,35444445,2037577,274808,2024.06.13
5,Not Like Us,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT,1,5,1,6,R&B/Hip-Hop,05/04/2024,247872,-14.0,288087,3300,31910141,4883127,244572,2024.06.13
6,Million Dollar Baby,Tommy Richman,,,1,3,3,7,R&B/Hip-Hop,04/26/2024,236901,-19.9,295648,5712,30422231,3474783,231189,2024.06.13
7,Houdini,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,1,1,,2,R&B/Hip-Hop,05/30/2024,234844,-37.3,374689,21136,26076323,4619737,213708,2024.06.13
8,BIRDS OF A FEATHER,Billie Eilish,,,8,8,8,4,Pop,05/16/2024,229811,7.6,213612,2752,29918592,683116,227059,2024.06.13
9,Pink Skies,Zach Bryan,WARNER RECORDS,WAR ,5,7,5,3,Country,05/24/2024,202077,-5.4,213702,5451,25592261,400431,196626,2024.06.13
10,Too Sweet,Hozier,SONY/COLUMBIA,COL,1,9,9,12,Rock,03/13/2024,162544,3.4,157145,7221,20007837,1628663,155323,2024.06.13
11,Beautiful Things,Benson Boone,Warner Records,WAR,1,11,10,21,Pop,01/09/2024,147403,1.2,145652,6509,18047781,1975563,140894,2024.06.13
12,Lose Control,Teddy Swims,Warner Records,WAR,3,12,14,44,Pop,06/16/2023,140332,-1.1,141863,5706,17053568,1964938,134626,2024.06.13
13,LUNCH,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,5,10,7,4,Pop,04/23/2024,139853,-7.8,151620,1249,18218393,682356,138604,2024.06.13
14,Like That,Future & Metro Boomin,Epic/Republic/Boominati/Freebandz,ERFB,1,15,11,12,R&B/Hip-Hop,03/20/2024,122117,-8.5,133512,1042,15951273,1537225,121075,2024.06.13
15,Fortnight,Taylor Swift,REPUBLIC RECORDS,R-RR,1,16,12,8,Pop,03/26/2024,116636,-6.0,124132,1922,14775511,670747,114714,2024.06.13
16,CHIHIRO,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,7,17,13,4,Pop,04/25/2024,111115,-6.5,118803,419,14045795,1147893,110696,2024.06.13
17,BAND4BAND,Central Cee & Lil Baby,SONY/COLUMBIA,COL,14,14,16,3,R&B/Hip-Hop,05/22/2024,111018,-17.9,135228,705,14538521,1824188,110313,2024.06.13
18,"Good Luck, Babe!",Chappell Roan,,,18,20,32,10,Pop,03/25/2024,108576,10.7,98098,1413,14021614,351666,107163,2024.06.13
19,Wanna Be,"Glorilla, Megan Thee Stallion",INTERSCOPE/GEFFEN/A&M,INT ,7,13,36,10,R&B/Hip-Hop,04/05/2024,107701,-22.4,138837,1224,13388545,2304640,106477,2024.06.13
20,I Remember Everything,Zach Bryan Feat. Kacey Musgraves,Warner Records,WAR,1,18,15,42,Country,01/27/2023,107602,-0.3,107906,1311,13941729,715890,106291,2024.06.13
21,High Road,Koe Wetzel,,,21,,,1,Country,04/29/2024,106061,,,5862,12624025,537300,100199,2024.06.13
22,Austin,Dasha,WARNER RECORDS,WAR ,19,19,24,15,Country,11/18/2023,104407,2.2,102135,2756,13282388,522667,101651,2024.06.13
23,Cowgirls,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,22,24,23,64,Country,03/01/2023,101741,10.8,91855,1983,13170411,582258,99758,2024.06.13
24,Gata Only,Floyymenor, INDEPENDENT LABEL SUBMISSION,INDI,17,30,26,14,Latin,12/22/2023,101160,20.2,84148,398,13230684,1686139,100762,2024.06.13
25,Last Night,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,1,22,20,72,Country,05/06/2022,99301,6.3,93430,1187,12913380,754491,98114,2024.06.13
26,Something In The Orange,Zach Bryan,Warner Records,WAR,3,25,21,112,Country,04/22/2022,93832,3.8,90396,931,12111717,875127,92901,2024.06.13
27,Miles On It,Marshmello & Kane Brown,RCA NASHVILLE,RCNA,18,21,18,6,Country,05/02/2024,89266,-8.5,97522,3533,11020491,182920,85733,2024.06.13
28,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,ATLANTIC GROUP,ATLG,22,34,30,4,Country,05/10/2024,84736,6.3,79687,3221,10557142,370143,81515,2024.06.13
29,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,4,28,27,57,Rock,07/02/2022,84177,-1.1,85117,1371,11014602,399175,82806,2024.06.13
30,Sweet Dreams,Koe Wetzel,,,30,49,48,4,Country,04/29/2024,83348,24.9,66756,1067,10582287,319311,82281,2024.06.13
31,Thinkin' Bout Me,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,5,35,34,67,Country,03/03/2023,80970,1.7,79624,991,10426450,818425,79979,2024.06.13
32,Wildflower,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,14,23,19,4,Rock,05/16/2024,80463,-12.6,92030,177,10371493,346634,80286,2024.06.13
33,I Like The Way You Kiss Me,Artemas,TENTHOUSAND PRO,TK1 ,6,32,28,12,Pop,03/18/2024,77519,-6.7,83072,849,10335099,908953,76670,2024.06.13
34,I Can Do It With A Broken Heart,Taylor Swift,REPUBLIC RECORDS,R-RR,3,27,22,8,Pop,03/26/2024,77435,-9.4,85468,1018,9997137,273473,76417,2024.06.13
35,Type Shit,Future & Metro Boomin,Epic/Republic/Boominati/Freebandz,ERFB,2,31,29,12,R&B/Hip-Hop,03/20/2024,77021,-7.7,83431,223,10229571,960314,76798,2024.06.13
36,Stargazing,Myles Smith, RCA,RCA,33,33,49,5,Rock,05/10/2024,76023,-5.6,80549,1960,9755124,296978,74063,2024.06.13
37,One Of Wun,Gunna,300 ENTERTAINME,300E,18,26,39,5,R&B/Hip-Hop,05/10/2024,74738,-15.9,88900,214,9889073,358537,74524,2024.06.13
38,we can't be friends (wait for your love),Ariana Grande,REPUBLIC RECORDS,R-RR,1,36,35,14,Pop,01/31/2024,73336,-4.3,76601,1205,9417701,767196,72131,2024.06.13
39,Fast Car,Luke Combs,COLUMBIA NASHVILLE,CLNV,2,44,37,64,Country,01/27/2023,72969,5.9,68922,1111,9239535,543914,71858,2024.06.13
40,euphoria,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT ,3,29,17,7,R&B/Hip-Hop,04/30/2024,72674,-14.1,84629,514,9568612,708179,72160,2024.06.13
41,Close To You,Gracie Abrams,,,41,,,1,Pop,06/06/2024,72384,,,972,9142386,104348,71412,2024.06.13
42,Yeah Glo,Glorilla,INTERSCOPE/GEFFEN/A&M,INT ,23,41,47,18,R&B/Hip-Hop,02/08/2024,71184,0.6,70763,506,9396905,1314533,70678,2024.06.13
43,Snooze,Sza, RCA,RCA,4,42,42,79,R&B/Hip-Hop,12/09/2022,71068,0.8,70476,423,9173434,1398829,70645,2024.06.13
44,Where The Wild Things Are,Luke Combs,COLUMBIA NASHVILLE,CLNV,21,39,43,24,Country,01/27/2023,70474,-3.7,73211,1129,9023074,555750,69345,2024.06.13
45,Slow It Down,Benson Boone,Warner Records,WAR,29,47,54,12,Pop,03/15/2024,70192,3.0,68157,1125,9273849,175575,69067,2024.06.13
46,L'AMOUR DE MA VIE,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,18,37,25,4,Pop,04/17/2024,69802,-6.7,74795,219,8959777,270264,69583,2024.06.13
47,Cruel Summer,Taylor Swift,REPUBLIC RECORDS,R-RR,1,48,50,71,Pop,08/23/2011,67942,1.3,67053,1112,8878632,329302,66830,2024.06.13
48,You Proof,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,4,46,44,109,Country,03/26/2022,67934,-0.6,68352,301,9024690,493558,67633,2024.06.13
49,Get It Sexyy,Sexyy Red,Vydia,VYD,10,40,31,13,R&B/Hip-Hop,03/15/2024,67336,-7.3,72626,279,9070481,823602,67057,2024.06.13
50,Saturn,Sza, RCA,RCA,3,45,41,16,R&B/Hip-Hop,02/06/2024,67144,-2.2,68630,677,9045381,736198,66467,2024.06.13
51,Down Bad,Taylor Swift,REPUBLIC RECORDS,R-RR,2,38,33,8,Pop,04/04/2024,65681,-11.0,73821,395,8356812,196605,65286,2024.06.13
52,U My Everything,Sexyy Red Feat. Drake,Vydia,VYD,37,43,37,3,R&B/Hip-Hop,05/24/2024,64085,-7.3,69154,565,8102890,666422,63520,2024.06.13
53,Think I’m In Love With You,Chris Stapleton,MERCURY NASHVILLE,MERN,52,54,52,9,Country,09/01/2023,64076,4.6,61242,2164,7889524,139047,61912,2024.06.13
54,Feather,Sabrina Carpenter,ISLAND,ISL,53,78,91,25,Pop,07/15/2022,63885,27.6,50059,1167,8010233,629517,62718,2024.06.13
55,Si No Quieres No,"Luis R Conriquez, Neton Vega",,,51,51,60,8,Latin,03/01/2024,61346,-2.9,63202,361,7529851,2356877,60985,2024.06.13
56,Wasted On You,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,3,53,55,179,Country,01/08/2021,61081,-0.6,61475,471,8026762,584711,60610,2024.06.13
57,Lovin On Me,Jack Harlow,ATLANTIC GROUP,ATLG,1,52,56,31,R&B/Hip-Hop,10/31/2023,60943,-3.0,62835,1169,7673612,796431,59774,2024.06.13
58,The Man He Sees In Me,Luke Combs,,,58,,,1,Country,06/06/2024,59572,,,2053,7401225,150281,57519,2024.06.13
59,End Of Beginning,Djo,,,6,56,59,17,Rock,09/16/2022,58450,-3.1,60327,876,7832831,343581,57574,2024.06.13
60,Blue,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,20,50,40,4,Pop,04/19/2024,56869,-13.1,65419,480,7311351,293452,56389,2024.06.13
61,Wind Up Missin' You,Tucker Wetmore,UMG NASHVILLE,UMGN,61,100,86,11,Country,03/16/2024,56347,25.2,44996,452,7439182,266420,55895,2024.06.13
62,Heading South,Zach Bryan, WARNER Records,WAR ,62,64,87,55,Country,09/30/2019,56281,5.8,53177,175,7633836,118597,56106,2024.06.13
63,Red Wine Supernova,Chappell Roan,,,63,80,136,9,Pop,05/17/2023,55643,13.5,49006,355,7022546,228633,55288,2024.06.13
64,Tennessee Whiskey,Chris Stapleton,MERCURY NASHVILLE,MERN,39,58,62,404,Country,12/29/2014,55223,-0.9,55726,986,6871938,686525,54237,2024.06.13
65,Hot To Go!,Chappell Roan,,,65,88,168,3,Pop,07/28/2023,54116,15.5,46835,596,6822410,319205,53520,2024.06.13
66,Bulletproof,Nate Smith,RCA NASHVILLE,RCNA,66,68,70,9,Country,02/09/2024,53339,3.0,51788,1159,6662713,185769,52180,2024.06.13
67,Purple Gas,Zach Bryan & Noeline Hofmann,WARNER RECORDS,WAR ,67,,,1,Country,04/07/2024,52910,,,1318,6537255,85093,51592,2024.06.13
68,The Boy Is Mine,Ariana Grande,,,7,,,8,Pop,03/07/2024,52671,,,837,5674488,2649766,51834,2024.06.13
69,Never Lose Me,Flo Milli, RCA,RCA,8,61,72,28,R&B/Hip-Hop,08/30/2023,52213,-2.4,53518,158,7347185,435554,52055,2024.06.13
70,Whatever She Wants,Bryson Tiller, RCA,RCA,9,60,65,17,R&B/Hip-Hop,01/16/2024,52164,-4.3,54507,219,7125119,492539,51945,2024.06.13
71,Who's Afraid Of Little Old Me?,Taylor Swift,REPUBLIC RECORDS,R-RR,9,55,51,8,Pop,03/26/2024,52113,-13.9,60543,620,6605941,237475,51493,2024.06.13
72,Wild Ones,Jessie Murph & Jelly Roll,SONY/COLUMBIA,COL,19,81,64,36,Country,10/03/2023,52105,7.0,48684,913,6475243,982142,51192,2024.06.13
73,Dreams,Fleetwood Mac,WARNER RECORDS,WAR ,3,71,73,198,Rock,07/07/1977,52023,1.0,51507,478,6602767,362845,51545,2024.06.13
74,Oklahoma Smokeshow,Zach Bryan,Warner Records,WAR,72,77,82,73,Country,07/07/2022,51771,2.9,50322,469,6720495,357672,51302,2024.06.13
75,Nasty,Tinashe, INDEPENDENT LABEL SUBMISSION,INDI,75,114,196,3,R&B/Hip-Hop,04/10/2024,51551,21.3,42512,914,6660811,420126,50637,2024.06.13
76,Scared To Start,Michael Marcagi,Warner Records,WAR,39,66,76,20,Rock,01/09/2024,51006,-2.8,52476,488,6835657,104199,50518,2024.06.13
77,Dial Drunk,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,13,67,83,53,Rock,10/14/2022,50918,-2.4,52152,458,6527334,134305,50460,2024.06.13
78,360,Charli Xcx,ATLANTIC GROUP,ATLG,78,,,1,Dance/Electronic,04/05/2024,50701,,,586,6296552,187922,50115,2024.06.13
79,Beautiful Crazy,Luke Combs,SME/LEGACY RECORDINGS,LEGC,26,79,81,305,Country,05/24/2018,50337,1.9,49420,365,6500487,615753,49972,2024.06.13
80,Don't Stop Believin',Journey,Columbia Records,COL ,70,70,77,231,Rock,07/17/1981,50179,-3.0,51757,1568,6255220,663593,48611,2024.06.13
81,Fe!N,Travis Scott,Cactus Jack/EPIC,EPIC,2,74,74,46,R&B/Hip-Hop,07/28/2023,49954,-2.2,51070,454,6958865,580987,49500,2024.06.13
82,Redrum,21 Savage,EPIC,EPIC,3,62,68,22,R&B/Hip-Hop,01/09/2024,48991,-8.0,53274,369,6663956,674435,48622,2024.06.13
83,Guilty As Sin?,Taylor Swift,REPUBLIC RECORDS,R-RR,10,59,61,8,Pop,03/26/2024,48765,-11.7,55237,116,6232092,143670,48649,2024.06.13
84,Whiskey Glasses,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,16,87,88,276,Country,07/29/2016,48345,2.7,47064,526,6205760,449221,47819,2024.06.13
85,Wondering Why,Red Clay Strays,THE ORCHARD,ORCH,79,86,96,29,Country,03/09/2022,48134,1.7,47344,1699,6013826,157082,46435,2024.06.13
86,Greedy,Tate Mcrae, RCA,RCA,6,82,84,39,Pop,09/09/2023,48125,-0.2,48210,581,6279918,371298,47544,2024.06.13
87,The Greatest,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,19,57,45,4,Rock,04/30/2024,47659,-17.4,57694,182,6125910,164645,47477,2024.06.13
88,You Should Probably Leave,Chris Stapleton,MERCURY NASHVILLE,MERN,46,108,104,148,Country,10/13/2020,47654,9.7,43459,499,6226531,154418,47155,2024.06.13
89,Texas Hold 'Em,Beyonce,Columbia Records,COL ,1,75,53,18,Country,02/12/2024,47504,-6.1,50602,1287,5971043,266661,46217,2024.06.13
90,Truck Bed,Hardy,Big Loud Records,"BLR
",41,97,98,55,Country,10/10/2022,47455,4.1,45588,790,5996432,518941,46665,2024.06.13
91,When It Rains It Pours,Luke Combs,SME/LEGACY RECORDINGS,LEGC,65,84,90,152,Country,08/10/2016,47400,-0.8,47772,252,6185280,489736,47148,2024.06.13
92,All My Life,Falling In Reverse & Jelly Roll,Epitaph,EPI,92,,,1,Rock,06/06/2024,47232,,,4309,4994660,1036302,42923,2024.06.13
93,Belong Together,Mark Ambor,,,81,83,93,10,Pop,02/16/2024,47190,-1.2,47787,1211,6206925,58372,45979,2024.06.13
94,Mmhmm,Bigxthaplug,,,57,95,100,28,R&B/Hip-Hop,10/05/2023,46984,1.9,46102,155,6493647,312518,46829,2024.06.13
95,Nonsense,Sabrina Carpenter,ISLAND,ISL,51,174,200,28,Pop,07/13/2022,46718,36.3,34282,377,6043333,382339,46341,2024.06.13
96,Wine Into Whiskey,Tucker Wetmore,UMG NASHVILLE,UMGN,72,146,124,16,Country,01/29/2024,46341,25.3,36988,547,5846588,263534,45794,2024.06.13
97,Sun To Me,Zach Bryan,Warner Records,WAR,97,104,105,26,Country,05/20/2022,46022,4.4,44094,293,6171361,95737,45729,2024.06.13
98,Fukumean,Gunna,300 ENTERTAINME,300E,2,105,170,50,R&B/Hip-Hop,06/16/2023,45796,4.1,43993,104,6391980,320857,45692,2024.06.13
99,Hell N Back,Bakar,EPIC,EPIC,44,93,89,11,Rock,08/02/2019,45520,-1.4,46154,296,6236206,186100,45224,2024.06.13
100,She Got the Best of Me,Luke Combs,COLUMBIA NASHVILLE,CLNV,40,98,99,84,Country,05/31/2018,45365,-0.1,45432,173,6075806,254683,45192,2024.06.13
101,Heartless,Diplo & Julia Michaels Feat. Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,20,111,114,210,Country,08/15/2019,45345,5.1,43157,201,6048940,352310,45144,2024.06.13
102,But Daddy I Love Him,Taylor Swift,REPUBLIC RECORDS,R-RR,7,63,63,8,Pop,03/26/2024,45339,-14.9,53247,225,5784795,144055,45114,2024.06.13
103,Chasin' You,Morgan Wallen,"BIG LOUD RECORDS, LLC",BGL ,24,109,95,216,Country,04/12/2018,45313,4.5,43354,361,5805404,388568,44952,2024.06.13
104,Sunflower,Post Malone & Swae Lee,REPUBLIC RECORDS,R-RR,1,99,97,294,R&B/Hip-Hop,10/17/2018,45120,-0.2,45230,449,5831564,595581,44671,2024.06.13
105,My Boy Only Breaks His Favorite Toys,Taylor Swift,REPUBLIC RECORDS,R-RR,6,72,67,8,Pop,03/23/2024,44433,-13.7,51486,118,5694981,121288,44315,2024.06.13
105,CARNIVAL,Kanye West Feat. Ty Dolla $ign,Vydia,VYD,1,85,75,18,R&B/Hip-Hop,12/20/2023,44433,-6.9,47741,244,6266305,380027,44189,2024.06.13
107,See You Again,"Tyler, The Creator",SONY/COLUMBIA,COL,24,91,92,73,R&B/Hip-Hop,07/06/2017,44155,-5.0,46461,53,6474501,310886,44102,2024.06.13
108,All Your'N,Tyler Childers, RCA,RCA,108,112,116,31,Country,02/09/2019,44072,3.5,42602,354,5775965,108529,43718,2024.06.13
109,"So Long, London",Taylor Swift,REPUBLIC RECORDS,R-RR,5,69,66,8,Pop,03/26/2024,43866,-15.3,51783,138,5654494,130467,43728,2024.06.13
110,Sweater Weather,Neighbourhood,Columbia Records,COL ,27,90,102,192,Rock,04/30/2012,43639,-6.4,46640,90,6024619,631964,43549,2024.06.13
111,Thought You Should Know,Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,9,101,94,107,Country,04/29/2022,43468,-3.3,44929,444,5634507,287467,43024,2024.06.13
112,Skinny,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,16,65,46,4,Rock,04/12/2024,43439,-17.5,52678,62,5626428,138765,43377,2024.06.13
113,The Diner,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,23,76,58,4,Pop,05/16/2024,43349,-14.3,50562,133,5611981,116143,43216,2024.06.13
114,Flowers,Miley Cyrus,SONY/COLUMBIA,COL,1,110,103,74,Pop,01/03/2023,43217,-0.1,43262,1238,5212117,770176,41979,2024.06.13
115,White Horse,Chris Stapleton,MERCURY NASHVILLE,MERN,15,118,118,47,Country,07/21/2023,42869,3.9,41279,1154,5364184,194970,41715,2024.06.13
116,Si No Es Contigo,Cris Mj,THE ORCHARD,ORCH,69,92,69,3,Latin,05/21/2024,42543,-8.0,46240,49,5860250,414176,42494,2024.06.13
117,Humble.,Kendrick Lamar,INTERSCOPE/GEFFEN/A&M,INT ,1,102,110,208,R&B/Hip-Hop,03/30/2017,42025,-6.4,44899,236,5543826,333467,41789,2024.06.13
118,Kill Bill,Sza, RCA,RCA,1,115,131,79,R&B/Hip-Hop,12/08/2022,41988,-0.2,42083,116,5760699,325463,41872,2024.06.13
119,"Burn, Burn, Burn",Zach Bryan,Warner Records,WAR,67,116,101,46,Country,09/08/2022,41888,0.1,41856,177,5527590,175416,41711,2024.06.13
120,Never Let Go,Jung Kook,,,120,,,1,Pop,06/06/2024,41579,,,20139,2799260,242408,21440,2024.06.13
121,The Kind Of Love We Make,Luke Combs,COLUMBIA NASHVILLE,CLNV,7,119,122,95,Country,04/22/2022,40919,-0.7,41220,166,5410393,170373,40753,2024.06.13
122,Pink + White,Frank Ocean, INDEPENDENT LABEL SUBMISSION,INDI,47,113,106,80,R&B/Hip-Hop,08/20/2016,40807,-4.2,42590,96,5690708,141001,40711,2024.06.13
123,Everlong,Foo Fighters, RCA,RCA,106,122,130,71,Rock,09/16/2003,40697,0.5,40499,231,5354055,237098,40466,2024.06.13
124,Hey Driver,Zach Bryan Feat. The War and Treaty,Warner Records,WAR,5,89,79,42,Country,01/27/2023,40287,-13.6,46653,444,5358790,61227,39843,2024.06.13
125,Spin You Around (1/24),Morgan Wallen,MERCURY / BIG LOUD / REPUBLIC RECORDS,R-MR,11,131,148,20,Country,01/26/2024,40246,4.1,38661,447,5171964,141984,39799,2024.06.13
126,Family Matters,Drake,OVO / REPUBLIC RECORDS,R-RR,5,73,57,6,R&B/Hip-Hop,05/04/2024,40201,-21.5,51243,226,5145811,561177,39975,2024.06.13
127,As It Was,Harry Styles,Columbia Records,COL ,1,121,127,104,Pop,03/30/2022,40093,-1.8,40828,309,5277930,308553,39784,2024.06.13
128,Need A Favor,Jelly Roll,BROKEN BOW RECO,BB2 ,22,139,123,63,Country,12/09/2022,40060,6.2,37705,1816,4935019,324787,38244,2024.06.13
129,Dirt Cheap,Cody Johnson,Warner Music Nashville,WNS,129,150,149,7,Country,11/03/2023,39789,8.7,36613,1512,4948058,230800,38277,2024.06.13
130,Without Me,Eminem,INTERSCOPE/GEFFEN/A&M,INT ,63,117,,13,R&B/Hip-Hop,07/20/2001,39693,-3.9,41309,1057,4965880,743010,38636,2024.06.13
131,Florida!!!,Taylor Swift,REPUBLIC RECORDS,R-RR,8,96,78,8,Pop,03/26/2024,39559,-13.2,45596,276,4998712,104385,39283,2024.06.13
132,Sure Thing,Miguel,SME/LEGACY RECORDINGS,LEGC,12,125,142,86,R&B/Hip-Hop,07/30/2010,39386,1.1,38962,133,5364771,434965,39253,2024.06.13
133,Save Me,Jelly Roll & Lainey Wilson,,,40,124,135,54,Country,05/12/2023,39300,-0.1,39325,2355,4735494,233093,36945,2024.06.13
134,Where It Ends,Bailey Zimmerman,Warner Music Nashville,WNS,11,123,115,24,Country,08/19/2022,39003,-1.4,39565,792,5130173,210775,38211,2024.06.13
135,Riptide,Vance Joy,ATLANTIC GROUP,ATLG,130,142,,19,Rock,05/21/2013,38996,4.0,37489,197,5294034,197637,38799,2024.06.13
136,Brown Eyed Girl,Van Morrison,SONY/COLUMBIA,COL,126,126,140,4,Rock,09/26/1989,38971,0.4,38812,328,5187907,150811,38643,2024.06.13
137,Broadway Girls,Lil Durk Feat. Morgan Wallen,Alamo Records,ALAM,7,132,119,74,R&B/Hip-Hop,12/17/2021,38780,0.8,38467,391,4982312,531214,38389,2024.06.13
138,7 Summers,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,3,145,141,70,Country,08/13/2020,38569,3.6,37233,198,4979152,212590,38371,2024.06.13
139,The Smallest Man Who Ever Lived,Taylor Swift,REPUBLIC RECORDS,R-RR,14,94,80,8,Pop,03/26/2024,38474,-16.6,46152,186,4853056,117752,38288,2024.06.13
140,Mr. Brightside,Killers,ISLAND,ISL,88,140,150,104,Rock,06/07/2004,38342,1.9,37630,432,4947638,165446,37910,2024.06.13
141,Money Trees,Kendrick Lamar Feat. Jay Rock,INTERSCOPE/GEFFEN/A&M,INT ,79,120,107,98,R&B/Hip-Hop,09/27/2012,38338,-6.1,40834,104,5083999,323308,38234,2024.06.13
142,Rock And A Hard Place,Bailey Zimmerman,Warner Music Nashville,WNS,11,165,162,105,Country,06/10/2022,38119,9.2,34897,349,5044032,299974,37770,2024.06.13
143,Yeah!,Usher, RCA,RCA,12,138,180,37,R&B/Hip-Hop,12/01/2003,38046,0.5,37873,477,4860771,573287,37569,2024.06.13
144,Revival,Zach Bryan,,,112,130,112,22,Country,05/08/2020,38026,-1.7,38689,440,4962212,131771,37586,2024.06.13
145,Die For You,Weeknd,XO / REPUBLIC RECORDS,R-RR,1,151,159,154,R&B/Hip-Hop,11/25/2016,37800,3.3,36594,82,5262443,336492,37718,2024.06.13
146,Rich Girl,Daryl Hall & John Oates, RCA,RCA,143,143,164,4,Pop,10/18/1983,37677,0.9,37333,170,5008962,25924,37507,2024.06.13
147,More Than My Hometown,Morgan Wallen,BIG LOUD / REPUBLIC RECORDS,R-RR,20,157,145,160,Country,04/16/2020,37474,4.3,35921,242,4911350,190941,37232,2024.06.13
148,The Tortured Poets Department,Taylor Swift,REPUBLIC RECORDS,R-RR,4,103,85,8,Pop,03/30/2024,37318,-15.7,44247,143,4774860,89352,37175,2024.06.13
149,Take Me to Church,Hozier,Columbia Records,COL ,130,152,,57,Rock,09/13/2013,37199,2.0,36477,431,4761760,452857,36768,2024.06.13
150,No Role Modelz,J. Cole,INTERSCOPE/GEFFEN/A&M,INT ,33,129,132,266,R&B/Hip-Hop,08/04/2015,37169,-4.0,38737,51,5062034,218925,37118,2024.06.13
151,Have You Ever Seen The Rain?,Creedence Clearwater Revival,CRAFT RECORDINGS,CRFT,127,141,151,21,Rock,10/24/1986,37104,-1.1,37519,380,4846293,313746,36724,2024.06.13
152,Wait For U,Future Feat. Drake & Tems,EPIC,EPIC,1,136,152,107,R&B/Hip-Hop,04/27/2022,36942,-3.2,38167,27,4873069,492640,36915,2024.06.13
153,Water,Tyla,EPIC,EPIC,15,135,113,38,World Music,07/17/2023,36771,-3.8,38206,477,4692343,600408,36294,2024.06.13
154,Paint The Town Red,Doja Cat, RCA,RCA,1,153,155,45,R&B/Hip-Hop,07/24/2023,36727,1.0,36354,424,4623358,576477,36303,2024.06.13
155,Don't,Bryson Tiller, RCA,RCA,17,148,160,131,R&B/Hip-Hop,05/20/2015,36653,-0.1,36679,27,5249759,143013,36626,2024.06.13
156,Tu Name,Fuerza Regida,SONY MUSIC LATIN,SML,48,134,134,17,Latin,02/09/2024,36642,-4.3,38275,51,4853688,743461,36591,2024.06.13
157,Freestyle,Lil Baby,QUALITY CONTROL MUSIC (CAROLINE),QLC ,32,133,139,100,R&B/Hip-Hop,12/01/2017,36499,-5.1,38462,25,4678340,539482,36474,2024.06.13
158,Religiously,Bailey Zimmerman,Warner Music Nashville,WNS,12,169,167,59,Country,03/17/2023,36480,5.6,34539,244,4808363,123439,36236,2024.06.13
159,Good Days,Sza, RCA,RCA,2,137,133,126,R&B/Hip-Hop,12/04/2020,36401,-4.2,37991,173,4950754,269629,36228,2024.06.13
160,Everybody Wants To Rule The World,Tears For Fears,ISLAND,ISL ,82,144,147,97,Rock,03/11/1985,36371,-2.3,37246,585,4661320,379646,35786,2024.06.13
161,Bittersuite,Billie Eilish,INTERSCOPE/GEFFEN/A&M,INT ,26,107,71,4,Pop,04/11/2024,36213,-16.7,43463,68,4663550,122758,36145,2024.06.13
162,Talk Talk,Charli Xcx,ATLANTIC GROUP,ATLG,162,,,1,Dance/Electronic,05/18/2024,35905,,,180,4523022,35467,35725,2024.06.13
163,Tennessee Orange,Megan Moroney,ARISTA NASHVILLE,ARNV,33,164,166,71,Country,09/02/2022,35885,2.6,34966,311,4753826,238075,35574,2024.06.13
164,Cinderella,Future & Metro Boomin,Epic/Republic/Boominati/Freebandz,ERFB,4,155,144,12,R&B/Hip-Hop,03/20/2024,35525,-1.3,35983,41,4689458,193994,35484,2024.06.13
165,Save Your Tears,Weeknd,REPUBLIC RECORDS,R-RR,2,161,185,184,Pop,03/20/2020,35355,0.6,35158,344,4419912,670261,35011,2024.06.13
166,Holy Smokes,Bailey Zimmerman, WARNER Records,WAR ,34,,,6,Country,02/01/2024,35108,,,379,4574437,33597,34729,2024.06.13
